Type-Aware?,Library,InFunction,name,line,column,IsFromParameter,HasTypeInfo,InferredType,TypeHint,DocString,MissingTypesOnPath,TypeOutsideOfPackage,Decrease,Increase,FoundType
Yes,safeds,safeds.data.image.containers._image.to_jpeg_file.227.4,to,242,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.to_png_file.244.4,mkdir,253,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.to_png_file.244.4,Path,253,8,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.to_png_file.244.4,save,255,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.to_png_file.244.4,to_pil_image,255,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.to_png_file.244.4,save_image,257,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.to_png_file.244.4,to,257,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.resize.263.4,Image,274,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.resize.263.4,squeeze,275,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.resize.263.4,interpolate,275,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.resize.263.4,unsqueeze,275,29,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.convert_to_grayscale.279.4,Image,291,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.convert_to_grayscale.279.4,cat,292,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.convert_to_grayscale.279.4,rgb_to_grayscale,293,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.convert_to_grayscale.279.4,unsqueeze,294,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.convert_to_grayscale.279.4,unsqueeze,294,39,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.convert_to_grayscale.279.4,Image,299,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.convert_to_grayscale.279.4,rgb_to_grayscale,299,25,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.crop.301.4,Image,319,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.crop.301.4,crop,319,21,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.flip_vertically.321.4,Image,332,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.flip_vertically.321.4,vertical_flip,332,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.flip_horizontally.334.4,Image,345,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.flip_horizontally.334.4,horizontal_flip,345,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,OutOfBoundsError,373,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,ClosedBound,373,70,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,warn,375,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,Image,381,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,cat,382,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,adjust_brightness,383,20,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,unsqueeze,384,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,unsqueeze,384,39,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,Image,389,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_brightness.347.4,adjust_brightness,389,25,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.add_noise.391.4,OutOfBoundsError,413,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.add_noise.391.4,ClosedBound,413,94,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.add_noise.391.4,Image,414,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.add_noise.391.4,to,415,33,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.add_noise.391.4,normal,415,33,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.add_noise.391.4,size,415,69,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,OutOfBoundsError,444,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,ClosedBound,444,70,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,warn,446,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,Image,452,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,cat,453,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,adjust_contrast,454,20,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,unsqueeze,455,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,unsqueeze,455,39,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,Image,460,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_contrast.419.4,adjust_contrast,460,25,No,No,Yes,No,No,Yes,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_color_balance.462.4,OutOfBoundsError,482,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_color_balance.462.4,ClosedBound,482,70,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_color_balance.462.4,warn,484,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_color_balance.462.4,warn,490,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_color_balance.462.4,Image,495,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.adjust_color_balance.462.4,convert_to_grayscale,496,12,No,Yes,Yes,No,No,No,No,-0,+0,['safeds/data/image/containers/_image/Image']
Yes,safeds,safeds.data.image.containers._image.blur.500.4,Image,517,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.blur.500.4,gaussian_blur,517,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,OutOfBoundsError,544,18,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,ClosedBound,544,70,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,warn,546,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,Image,552,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,cat,553,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,adjust_sharpness,554,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,unsqueeze,555,20,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,unsqueeze,555,39,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,Image,560,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.sharpen.519.4,adjust_sharpness,560,25,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.invert_colors.562.4,Image,574,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.invert_colors.562.4,cat,575,16,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.invert_colors.562.4,invert,575,27,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.invert_colors.562.4,unsqueeze,575,66,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.invert_colors.562.4,unsqueeze,575,85,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.invert_colors.562.4,Image,579,19,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.invert_colors.562.4,invert,579,25,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.rotate_right.581.4,Image,592,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.rotate_right.581.4,rotate,592,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.rotate_left.594.4,Image,605,15,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.rotate_left.594.4,rotate,605,21,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,to,621,17,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,to,623,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,clamp,623,23,No,Yes,Yes,No,No,No,No,-0,+0,[]
Yes,safeds,safeds.data.image.containers._image.find_edges.607.4,squeeze,624,12,No,Yes,Yes,No,No,No,No,-0,+0,[]
