Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,pandas,pandas.core.ops,165,11,UnaryExpr,Series,,"Any, Series",2025-03-09 21:59:19.986735
Yes,pandas,pandas._testing,352,31,OpExpr,int,,OpExpr,2025-03-09 21:59:20.198500
Yes,pandas,pandas._testing,358,33,OpExpr,int,,OpExpr,2025-03-09 21:59:20.201498
Yes,pandas,pandas._testing,367,44,OpExpr,int,,OpExpr,2025-03-09 21:59:20.204562
Yes,pandas,pandas._testing,433,9,OpExpr,int,,OpExpr,2025-03-09 21:59:20.232965
Yes,pandas,pandas._testing,437,11,SliceExpr,int,,SliceExpr,2025-03-09 21:59:20.234088
Yes,pandas,pandas._testing,769,12,GeneratorExpr,None,,GeneratorExpr,2025-03-09 21:59:20.299335
Yes,pandas,pandas._testing,781,18,OpExpr,float,,OpExpr,2025-03-09 21:59:20.310794
Yes,pandas,pandas.util.version,490,7,OpExpr,"UnionType[str, bytes, SupportsInt]",,OpExpr,2025-03-09 21:59:20.504731
Yes,pandas,pandas.compat._optional,155,22,ConditionalExpr,"UnionType[str, None]",,ConditionalExpr,2025-03-09 21:59:21.409836
Yes,pandas,pandas.compat.numpy.function,163,16,CastExpr,"UnionType[bool, int, None]",,bool,2025-03-09 21:59:21.439362
Yes,pandas,pandas.compat.numpy.function,390,37,OpExpr,"UnionType[int, None]",,OpExpr,2025-03-09 21:59:21.460895
Yes,pandas,pandas.core.accessor,121,16,OpExpr,bool,,OpExpr,2025-03-09 21:59:21.491503
Yes,pandas,pandas.core.algorithms,137,17,CastExpr,ArrayLike,,BaseMaskedArray,2025-03-09 21:59:21.525125
Yes,pandas,pandas.core.algorithms,147,17,CastExpr,ArrayLike,,Categorical,2025-03-09 21:59:21.528123
Yes,pandas,pandas.core.algorithms,171,15,CastExpr,ArrayLike,,ndarray,2025-03-09 21:59:21.533254
Yes,pandas,pandas.core.algorithms,786,7,OpExpr,bool,,OpExpr,2025-03-09 21:59:21.625328
Yes,pandas,pandas.core.algorithms,836,11,ConditionalExpr,bool,,ConditionalExpr,2025-03-09 21:59:21.631376
Yes,pandas,pandas.core.algorithms,933,27,IndexExpr,"UnionType[NDArray, None]",,ndarray,2025-03-09 21:59:21.664851
Yes,pandas,pandas.core.algorithms,933,39,IndexExpr,"UnionType[NDArray, None]",,NDArray,2025-03-09 21:59:21.664851
Yes,pandas,pandas.core.algorithms,961,17,CastExpr,ArrayLike,,BaseMaskedArray,2025-03-09 21:59:21.667857
Yes,pandas,pandas.core.algorithms,991,17,CastExpr,ArrayLike,,ExtensionArray,2025-03-09 21:59:21.672943
Yes,pandas,pandas.core.algorithms,1153,13,OpExpr,"UnionType[int, NDArray]",,OpExpr,2025-03-09 21:59:21.697395
Yes,pandas,pandas.core.algorithms,1340,29,CastExpr,"UnionType[NumpyValueArrayLike, ExtensionArray]",,ArrayLike,2025-03-09 21:59:21.718794
Yes,pandas,pandas.core.algorithms,1436,4,IndexExpr,int,,List[slice],2025-03-09 21:59:21.753426
Yes,pandas,pandas.core.algorithms,1447,8,IndexExpr,int,,List[slice],2025-03-09 21:59:21.756404
Yes,pandas,pandas.core.algorithms,1451,8,IndexExpr,int,,List[slice],2025-03-09 21:59:21.758223
Yes,pandas,pandas.core.algorithms,1596,7,OpExpr,bool,,OpExpr,2025-03-09 21:59:21.794904
Yes,pandas,pandas.core.algorithms,1663,22,CallExpr,"UnionType[ArrayLike, Index]",,"UnionType[ArrayLike, Index], UnionType[ArrayLike, Index]",2025-03-09 21:59:21.816213
