Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,pandas,pandas.core.ops,165,11,UnaryExpr,Series,,"Any, Series",2025-03-09 21:54:52.497086
Yes,pandas,pandas._testing,352,31,OpExpr,int,,OpExpr,2025-03-09 21:54:52.663328
Yes,pandas,pandas._testing,358,33,OpExpr,int,,OpExpr,2025-03-09 21:54:52.666413
Yes,pandas,pandas._testing,367,44,OpExpr,int,,OpExpr,2025-03-09 21:54:52.668415
Yes,pandas,pandas._testing,433,9,OpExpr,int,,OpExpr,2025-03-09 21:54:52.698170
Yes,pandas,pandas._testing,437,11,SliceExpr,int,,SliceExpr,2025-03-09 21:54:52.700274
Yes,pandas,pandas._testing,769,12,GeneratorExpr,None,,GeneratorExpr,2025-03-09 21:54:52.769098
Yes,pandas,pandas._testing,781,18,OpExpr,float,,OpExpr,2025-03-09 21:54:52.775147
Yes,pandas,pandas.util.version,490,7,OpExpr,"UnionType[str, bytes, SupportsInt]",,OpExpr,2025-03-09 21:54:52.966062
Yes,pandas,pandas.compat._optional,155,22,ConditionalExpr,"UnionType[str, None]",,ConditionalExpr,2025-03-09 21:54:53.911074
Yes,pandas,pandas.compat.numpy.function,163,16,CastExpr,"UnionType[bool, int, None]",,bool,2025-03-09 21:54:53.944650
Yes,pandas,pandas.compat.numpy.function,390,37,OpExpr,"UnionType[int, None]",,OpExpr,2025-03-09 21:54:53.966708
Yes,pandas,pandas.core.accessor,121,16,OpExpr,bool,,OpExpr,2025-03-09 21:54:53.996371
Yes,pandas,pandas.core.algorithms,137,17,CastExpr,ArrayLike,,BaseMaskedArray,2025-03-09 21:54:54.028044
Yes,pandas,pandas.core.algorithms,147,17,CastExpr,ArrayLike,,Categorical,2025-03-09 21:54:54.030039
Yes,pandas,pandas.core.algorithms,171,15,CastExpr,ArrayLike,,ndarray,2025-03-09 21:54:54.035113
Yes,pandas,pandas.core.algorithms,786,7,OpExpr,bool,,OpExpr,2025-03-09 21:54:54.130447
Yes,pandas,pandas.core.algorithms,836,11,ConditionalExpr,bool,,ConditionalExpr,2025-03-09 21:54:54.136529
Yes,pandas,pandas.core.algorithms,933,27,IndexExpr,"UnionType[NDArray, None]",,ndarray,2025-03-09 21:54:54.171413
