Type-Aware?,Library,Runtime [seconds],Classified as Pure,Classified as Impure,Amount of functions,True Positive,True Negative,False Positive,False Negative,Recall,Precision,Accuracy,Balanced Accuracy,Call References,Improved CallRef,Found more func,Found same amount,Found no referenced functions,Call refs func outside of package,Api callRef not found,Api Analyzer bug,Callrefs found by purity,Callrefs found by api,Date
No,safeds,1439.3744366168976,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,0,0,0,547,0,0,0,1710,1780,2025-01-13 22:46:33.770518
No,safeds,710.774897813797,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,0,0,0,547,0,0,0,1710,1780,2025-01-13 23:18:06.738150
Yes,safeds,167.5275547504425,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,1710,1780,2025-01-13 23:40:37.855407
Yes,safeds,178.18887209892273,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,1710,1780,2025-01-14 12:01:12.399141
Yes,safeds,203.4053122997284,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,1710,1780,2025-01-14 12:24:25.161193
Yes,safeds,194.41410326957703,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,1710,1780,2025-01-14 13:57:16.954423
No,safeds,160.04225277900696,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,0,0,0,547,0,0,0,1710,1780,2025-01-14 18:47:40.697703
No,safeds,165.8599841594696,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,0,0,0,547,0,0,0,1710,1780,2025-01-14 18:54:01.675438
Yes,safeds,157.52112102508545,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,167,2,333,44,0,1,0,1710,1780,2025-01-14 19:02:35.686343
No,safeds,161.28544545173645,80,412,492,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,0,0,0,547,0,0,0,1710,1780,2025-01-14 22:34:54.236660
