Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
safeds,safeds.data.tabular.containers._column,728,40,CallExpr,,,,2025-02-10 22:14:36.609469
safeds,safeds.data.tabular.containers._column,728,40,MemberExpr,,,,2025-02-10 22:14:36.610470
safeds,safeds.data.tabular.containers._column,849,40,CallExpr,,,,2025-02-10 22:14:36.622488
safeds,safeds.data.tabular.containers._column,849,40,MemberExpr,,,,2025-02-10 22:14:36.623545
safeds,safeds.data.tabular.containers._column,874,40,CallExpr,,,,2025-02-10 22:14:36.627508
safeds,safeds.data.tabular.containers._column,874,40,MemberExpr,,,,2025-02-10 22:14:36.628482
safeds,safeds.data.tabular.containers._column,899,40,CallExpr,,,,2025-02-10 22:14:36.632238
safeds,safeds.data.tabular.containers._column,899,40,MemberExpr,,,,2025-02-10 22:14:36.633218
safeds,safeds.data.tabular.containers._column,928,40,CallExpr,,,,2025-02-10 22:14:36.638237
safeds,safeds.data.tabular.containers._column,928,40,MemberExpr,,,,2025-02-10 22:14:36.639238
safeds,safeds.data.tabular.containers._column,930,8,NameExpr,,,Any,2025-02-10 22:14:36.642227
safeds,safeds.data.tabular.containers._column,930,14,CallExpr,,,,2025-02-10 22:14:36.643206
safeds,safeds.data.tabular.containers._column,930,14,MemberExpr,,,,2025-02-10 22:14:36.644203
safeds,safeds.data.tabular.containers._column,931,8,NameExpr,,,Any,2025-02-10 22:14:36.645200
safeds,safeds.data.tabular.containers._column,931,13,CallExpr,,,,2025-02-10 22:14:36.645814
safeds,safeds.data.tabular.containers._column,931,13,MemberExpr,,,,2025-02-10 22:14:36.646833
safeds,safeds.data.tabular.containers._column,932,8,CallExpr,,,Any,2025-02-10 22:14:36.647821
safeds,safeds.data.tabular.containers._column,932,8,MemberExpr,,,Any,2025-02-10 22:14:36.647821
safeds,safeds.data.tabular.containers._column,933,8,CallExpr,,,Any,2025-02-10 22:14:36.648818
safeds,safeds.data.tabular.containers._column,933,8,MemberExpr,,,Any,2025-02-10 22:14:36.648818
safeds,safeds.data.tabular.containers._column,934,8,CallExpr,,,Any,2025-02-10 22:14:36.649823
safeds,safeds.data.tabular.containers._column,934,8,MemberExpr,,,Any,2025-02-10 22:14:36.649823
safeds,safeds.data.tabular.containers._column,935,8,CallExpr,,,,2025-02-10 22:14:36.650819
safeds,safeds.data.tabular.containers._column,935,8,MemberExpr,,,,2025-02-10 22:14:36.651820
safeds,safeds.data.tabular.containers._column,937,17,CallExpr,,,,2025-02-10 22:14:36.655825
safeds,safeds.data.tabular.containers._column,937,17,MemberExpr,,,,2025-02-10 22:14:36.655825
safeds,safeds.data.tabular.containers._column,938,8,CallExpr,,,Any,2025-02-10 22:14:36.656822
safeds,safeds.data.tabular.containers._column,938,8,MemberExpr,,,Any,2025-02-10 22:14:36.657845
safeds,safeds.data.tabular.containers._column,939,8,CallExpr,,,,2025-02-10 22:14:36.658851
safeds,safeds.data.tabular.containers._column,939,8,MemberExpr,,,,2025-02-10 22:14:36.659822
safeds,safeds.data.tabular.containers._column,958,8,NameExpr,,,Any,2025-02-10 22:14:36.662823
safeds,safeds.data.tabular.containers._column,958,14,CallExpr,,,,2025-02-10 22:14:36.663822
safeds,safeds.data.tabular.containers._column,958,14,MemberExpr,,,,2025-02-10 22:14:36.663822
safeds,safeds.data.tabular.containers._column,959,8,NameExpr,,,Any,2025-02-10 22:14:36.665096
safeds,safeds.data.tabular.containers._column,959,13,CallExpr,,,,2025-02-10 22:14:36.666116
safeds,safeds.data.tabular.containers._column,959,13,MemberExpr,,,,2025-02-10 22:14:36.667104
safeds,safeds.data.tabular.containers._column,960,8,CallExpr,,,Any,2025-02-10 22:14:36.667810
safeds,safeds.data.tabular.containers._column,960,8,MemberExpr,,,Any,2025-02-10 22:14:36.668817
safeds,safeds.data.tabular.containers._column,960,22,CallExpr,,,Any,2025-02-10 22:14:36.669817
safeds,safeds.data.tabular.containers._column,960,22,MemberExpr,,,Any,2025-02-10 22:14:36.670821
safeds,safeds.data.tabular.containers._column,961,8,CallExpr,,,Any,2025-02-10 22:14:36.671829
safeds,safeds.data.tabular.containers._column,961,8,MemberExpr,,,Any,2025-02-10 22:14:36.672818
safeds,safeds.data.tabular.containers._column,962,8,CallExpr,,,Any,2025-02-10 22:14:36.673818
safeds,safeds.data.tabular.containers._column,962,8,MemberExpr,,,Any,2025-02-10 22:14:36.673818
safeds,safeds.data.tabular.containers._column,963,12,CallExpr,,,Any,2025-02-10 22:14:36.674819
safeds,safeds.data.tabular.containers._column,963,12,MemberExpr,,,Any,2025-02-10 22:14:36.674819
safeds,safeds.data.tabular.containers._column,967,8,CallExpr,,,,2025-02-10 22:14:36.675815
safeds,safeds.data.tabular.containers._column,967,8,MemberExpr,,,,2025-02-10 22:14:36.675815
safeds,safeds.data.tabular.containers._column,969,17,CallExpr,,,,2025-02-10 22:14:36.676819
safeds,safeds.data.tabular.containers._column,969,17,MemberExpr,,,,2025-02-10 22:14:36.677815
safeds,safeds.data.tabular.containers._column,970,8,CallExpr,,,Any,2025-02-10 22:14:36.677815
safeds,safeds.data.tabular.containers._column,970,8,MemberExpr,,,Any,2025-02-10 22:14:36.677815
safeds,safeds.data.tabular.containers._column,971,8,CallExpr,,,,2025-02-10 22:14:36.678815
safeds,safeds.data.tabular.containers._column,971,8,MemberExpr,,,,2025-02-10 22:14:36.679820
safeds,safeds.data.tabular.containers._row,126,15,,,,,2025-02-10 22:14:36.692822
safeds,safeds.data.tabular.containers._row,126,38,NameExpr,,,Any,2025-02-10 22:14:36.693847
safeds,safeds.data.tabular.containers._row,126,22,NameExpr,,,Any,2025-02-10 22:14:36.694820
safeds,safeds.data.tabular.containers._row,128,35,CallExpr,,,,2025-02-10 22:14:36.695818
safeds,safeds.data.tabular.containers._row,128,35,MemberExpr,,,,2025-02-10 22:14:36.695818
safeds,safeds.data.tabular.containers._row,271,15,CallExpr,,,,2025-02-10 22:14:36.711745
safeds,safeds.data.tabular.containers._row,271,15,MemberExpr,,,,2025-02-10 22:14:36.712744
safeds,safeds.data.tabular.containers._row,281,15,CallExpr,,,,2025-02-10 22:14:36.715745
safeds,safeds.data.tabular.containers._row,281,15,MemberExpr,,,,2025-02-10 22:14:36.716745
safeds,safeds.data.tabular.containers._row,281,43,CallExpr,,,,2025-02-10 22:14:36.717745
safeds,safeds.data.tabular.containers._row,281,43,MemberExpr,,,,2025-02-10 22:14:36.718744
safeds,safeds.data.tabular.containers._row,305,62,NameExpr,,,Any,2025-02-10 22:14:36.721798
safeds,safeds.data.tabular.containers._row,305,25,CallExpr,,,,2025-02-10 22:14:36.722780
safeds,safeds.data.tabular.containers._row,305,25,MemberExpr,,,,2025-02-10 22:14:36.723747
safeds,safeds.data.tabular.containers._row,306,25,CallExpr,,,,2025-02-10 22:14:36.726745
safeds,safeds.data.tabular.containers._row,306,25,MemberExpr,,,,2025-02-10 22:14:36.727745
safeds,safeds.data.tabular.containers._row,307,23,CallExpr,,,,2025-02-10 22:14:36.728746
safeds,safeds.data.tabular.containers._row,307,23,MemberExpr,,,,2025-02-10 22:14:36.729747
safeds,safeds.data.tabular.containers._row,488,66,CallExpr,,,,2025-02-10 22:14:36.740776
