Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
No,safeds,safeds.data.image.containers._image,82,12,CallExpr,,,,2025-03-08 12:07:58.217153
No,safeds,safeds.data.image.containers._image,82,12,MemberExpr,,,,2025-03-08 12:07:58.218141
No,safeds,safeds.data.image.containers._image,86,12,NameExpr,,,Any,2025-03-08 12:07:58.218141
No,safeds,safeds.data.image.containers._image,81,13,CallExpr,,,,2025-03-08 12:07:58.219261
No,safeds,safeds.data.image.containers._image,81,13,MemberExpr,,,,2025-03-08 12:07:58.219261
No,safeds,safeds.data.image.containers._image,87,62,NameExpr,,,Any,2025-03-08 12:07:58.220261
No,safeds,safeds.data.image.containers._image,120,15,CallExpr,,,,2025-03-08 12:07:58.233015
No,safeds,safeds.data.image.containers._image,120,15,MemberExpr,,,,2025-03-08 12:07:58.233015
No,safeds,safeds.data.image.containers._image,135,17,CallExpr,,,,2025-03-08 12:07:58.235161
No,safeds,safeds.data.image.containers._image,135,17,MemberExpr,,,,2025-03-08 12:07:58.236179
No,safeds,safeds.data.image.containers._image,152,17,CallExpr,,,,2025-03-08 12:07:58.239171
No,safeds,safeds.data.image.containers._image,152,17,MemberExpr,,,,2025-03-08 12:07:58.239171
No,safeds,safeds.data.image.containers._image,375,12,CallExpr,,,,2025-03-08 12:07:58.265983
No,safeds,safeds.data.image.containers._image,375,12,MemberExpr,,,,2025-03-08 12:07:58.265983
No,safeds,safeds.data.image.containers._image,446,12,CallExpr,,,,2025-03-08 12:07:58.274126
No,safeds,safeds.data.image.containers._image,446,12,MemberExpr,,,,2025-03-08 12:07:58.274126
No,safeds,safeds.data.image.containers._image,484,12,CallExpr,,,,2025-03-08 12:07:58.279249
No,safeds,safeds.data.image.containers._image,484,12,MemberExpr,,,,2025-03-08 12:07:58.280231
No,safeds,safeds.data.image.containers._image,490,12,CallExpr,,,,2025-03-08 12:07:58.280231
No,safeds,safeds.data.image.containers._image,490,12,MemberExpr,,,,2025-03-08 12:07:58.281382
No,safeds,safeds.data.image.containers._image,546,12,CallExpr,,,,2025-03-08 12:07:58.288199
No,safeds,safeds.data.image.containers._image,546,12,MemberExpr,,,,2025-03-08 12:07:58.288731
No,safeds,safeds.data.image.containers._image,592,54,UnaryExpr,,,,2025-03-08 12:07:58.296010
No,safeds,safeds.data.image.containers._image,618,8,NameExpr,,,Any,2025-03-08 12:07:58.298118
No,safeds,safeds.data.image.containers._image,623,8,NameExpr,,,Any,2025-03-08 12:07:58.300662
No,safeds,safeds.data.image.containers._image,626,16,NameExpr,,,Any,2025-03-08 12:07:58.306855
No,safeds,safeds.data.image.containers._image,633,25,CallExpr,,,Any,2025-03-08 12:07:58.306855
No,safeds,safeds.data.image.containers._image,633,25,MemberExpr,,,Any,2025-03-08 12:07:58.307972
No,safeds,safeds.data.image.containers._image,636,27,CallExpr,,,Any,2025-03-08 12:07:58.308984
No,safeds,safeds.data.image.containers._image,636,27,MemberExpr,,,Any,2025-03-08 12:07:58.308984
No,safeds,safeds.data.image.containers._image,640,25,NameExpr,,,Any,2025-03-08 12:07:58.309987
