Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,safeds,safeds.data.image.containers._image,82,12,CallExpr,,,,2025-03-01 22:49:44.649637
Yes,safeds,safeds.data.image.containers._image,82,12,MemberExpr,,,,2025-03-01 22:49:44.653190
Yes,safeds,safeds.data.image.containers._image,86,12,NameExpr,,,Any,2025-03-01 22:49:44.653692
Yes,safeds,safeds.data.image.containers._image,81,13,CallExpr,,,,2025-03-01 22:49:44.654709
Yes,safeds,safeds.data.image.containers._image,81,13,MemberExpr,,,,2025-03-01 22:49:44.654709
Yes,safeds,safeds.data.image.containers._image,87,62,NameExpr,,,Any,2025-03-01 22:49:44.664051
Yes,safeds,safeds.data.image.containers._image,120,15,CallExpr,,,,2025-03-01 22:49:44.678454
Yes,safeds,safeds.data.image.containers._image,120,15,MemberExpr,,,,2025-03-01 22:49:44.679454
Yes,safeds,safeds.data.image.containers._image,135,17,CallExpr,,,,2025-03-01 22:49:44.683567
Yes,safeds,safeds.data.image.containers._image,135,17,MemberExpr,,,,2025-03-01 22:49:44.684566
Yes,safeds,safeds.data.image.containers._image,152,17,CallExpr,,,,2025-03-01 22:49:44.689697
Yes,safeds,safeds.data.image.containers._image,152,17,MemberExpr,,,,2025-03-01 22:49:44.690695
Yes,safeds,safeds.data.image.containers._image,375,12,CallExpr,,,,2025-03-01 22:49:44.721426
Yes,safeds,safeds.data.image.containers._image,375,12,MemberExpr,,,,2025-03-01 22:49:44.721426
Yes,safeds,safeds.data.image.containers._image,446,12,CallExpr,,,,2025-03-01 22:49:44.730699
Yes,safeds,safeds.data.image.containers._image,446,12,MemberExpr,,,,2025-03-01 22:49:44.731699
Yes,safeds,safeds.data.image.containers._image,484,12,CallExpr,,,,2025-03-01 22:49:44.739392
Yes,safeds,safeds.data.image.containers._image,484,12,MemberExpr,,,,2025-03-01 22:49:44.739894
