Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,safeds,safeds.data.tabular.containers._column,648,40,MemberExpr,,,,2025-04-08 14:05:44.826515
Yes,safeds,safeds.data.tabular.containers._column,673,40,CallExpr,,,,2025-04-08 14:05:44.832759
Yes,safeds,safeds.data.tabular.containers._column,673,40,MemberExpr,,,,2025-04-08 14:05:44.833758
Yes,safeds,safeds.data.tabular.containers._column,703,40,CallExpr,,,,2025-04-08 14:05:44.836755
Yes,safeds,safeds.data.tabular.containers._column,703,40,MemberExpr,,,,2025-04-08 14:05:44.836755
Yes,safeds,safeds.data.tabular.containers._column,728,40,CallExpr,,,,2025-04-08 14:05:44.839875
Yes,safeds,safeds.data.tabular.containers._column,728,40,MemberExpr,,,,2025-04-08 14:05:44.840875
Yes,safeds,safeds.data.tabular.containers._column,849,40,CallExpr,,,,2025-04-08 14:05:44.851080
Yes,safeds,safeds.data.tabular.containers._column,849,40,MemberExpr,,,,2025-04-08 14:05:44.852080
Yes,safeds,safeds.data.tabular.containers._column,874,40,CallExpr,,,,2025-04-08 14:05:44.855170
Yes,safeds,safeds.data.tabular.containers._column,874,40,MemberExpr,,,,2025-04-08 14:05:44.855170
Yes,safeds,safeds.data.tabular.containers._column,899,40,CallExpr,,,,2025-04-08 14:05:44.858269
Yes,safeds,safeds.data.tabular.containers._column,899,40,MemberExpr,,,,2025-04-08 14:05:44.858269
Yes,safeds,safeds.data.tabular.containers._column,928,40,CallExpr,,,,2025-04-08 14:05:44.862267
Yes,safeds,safeds.data.tabular.containers._column,928,40,MemberExpr,,,,2025-04-08 14:05:44.863372
Yes,safeds,safeds.data.tabular.containers._column,930,8,NameExpr,,,Any,2025-04-08 14:05:44.865370
Yes,safeds,safeds.data.tabular.containers._column,930,14,CallExpr,,,,2025-04-08 14:05:44.865370
Yes,safeds,safeds.data.tabular.containers._column,930,14,MemberExpr,,,,2025-04-08 14:05:44.866369
Yes,safeds,safeds.data.tabular.containers._column,931,8,NameExpr,,,Any,2025-04-08 14:05:44.866369
Yes,safeds,safeds.data.tabular.containers._column,931,13,CallExpr,,,,2025-04-08 14:05:44.866369
Yes,safeds,safeds.data.tabular.containers._column,931,13,MemberExpr,,,,2025-04-08 14:05:44.867369
Yes,safeds,safeds.data.tabular.containers._column,932,8,CallExpr,,,Any,2025-04-08 14:05:44.867369
Yes,safeds,safeds.data.tabular.containers._column,932,8,MemberExpr,,,Any,2025-04-08 14:05:44.868368
Yes,safeds,safeds.data.tabular.containers._column,933,8,CallExpr,,,Any,2025-04-08 14:05:44.868482
Yes,safeds,safeds.data.tabular.containers._column,933,8,MemberExpr,,,Any,2025-04-08 14:05:44.868482
Yes,safeds,safeds.data.tabular.containers._column,934,8,CallExpr,,,Any,2025-04-08 14:05:44.869482
Yes,safeds,safeds.data.tabular.containers._column,934,8,MemberExpr,,,Any,2025-04-08 14:05:44.869482
Yes,safeds,safeds.data.tabular.containers._column,935,8,CallExpr,,,,2025-04-08 14:05:44.869482
Yes,safeds,safeds.data.tabular.containers._column,935,8,MemberExpr,,,,2025-04-08 14:05:44.870481
Yes,safeds,safeds.data.tabular.containers._column,937,17,CallExpr,,,,2025-04-08 14:05:44.870481
Yes,safeds,safeds.data.tabular.containers._column,937,17,MemberExpr,,,,2025-04-08 14:05:44.871480
Yes,safeds,safeds.data.tabular.containers._column,938,8,CallExpr,,,Any,2025-04-08 14:05:44.871480
Yes,safeds,safeds.data.tabular.containers._column,938,8,MemberExpr,,,Any,2025-04-08 14:05:44.871480
Yes,safeds,safeds.data.tabular.containers._column,939,8,CallExpr,,,,2025-04-08 14:05:44.872479
Yes,safeds,safeds.data.tabular.containers._column,939,8,MemberExpr,,,,2025-04-08 14:05:44.872479
Yes,safeds,safeds.data.tabular.containers._column,958,8,NameExpr,,,Any,2025-04-08 14:05:44.874596
Yes,safeds,safeds.data.tabular.containers._column,958,14,CallExpr,,,,2025-04-08 14:05:44.875623
Yes,safeds,safeds.data.tabular.containers._column,958,14,MemberExpr,,,,2025-04-08 14:05:44.876138
Yes,safeds,safeds.data.tabular.containers._column,959,8,NameExpr,,,Any,2025-04-08 14:05:44.876643
Yes,safeds,safeds.data.tabular.containers._column,959,13,CallExpr,,,,2025-04-08 14:05:44.876643
Yes,safeds,safeds.data.tabular.containers._column,959,13,MemberExpr,,,,2025-04-08 14:05:44.877645
Yes,safeds,safeds.data.tabular.containers._column,960,8,CallExpr,,,Any,2025-04-08 14:05:44.878868
Yes,safeds,safeds.data.tabular.containers._column,960,8,MemberExpr,,,Any,2025-04-08 14:05:44.879249
Yes,safeds,safeds.data.tabular.containers._column,960,22,CallExpr,,,Any,2025-04-08 14:05:44.879766
Yes,safeds,safeds.data.tabular.containers._column,960,22,MemberExpr,,,Any,2025-04-08 14:05:44.880282
Yes,safeds,safeds.data.tabular.containers._column,961,8,CallExpr,,,Any,2025-04-08 14:05:44.880282
Yes,safeds,safeds.data.tabular.containers._column,961,8,MemberExpr,,,Any,2025-04-08 14:05:44.880796
Yes,safeds,safeds.data.tabular.containers._column,962,8,CallExpr,,,Any,2025-04-08 14:05:44.881312
Yes,safeds,safeds.data.tabular.containers._column,962,8,MemberExpr,,,Any,2025-04-08 14:05:44.881312
Yes,safeds,safeds.data.tabular.containers._column,963,12,CallExpr,,,Any,2025-04-08 14:05:44.881827
Yes,safeds,safeds.data.tabular.containers._column,963,12,MemberExpr,,,Any,2025-04-08 14:05:44.882329
Yes,safeds,safeds.data.tabular.containers._column,967,8,CallExpr,,,,2025-04-08 14:05:44.882329
Yes,safeds,safeds.data.tabular.containers._column,967,8,MemberExpr,,,,2025-04-08 14:05:44.882329
Yes,safeds,safeds.data.tabular.containers._column,969,17,CallExpr,,,,2025-04-08 14:05:44.883331
Yes,safeds,safeds.data.tabular.containers._column,969,17,MemberExpr,,,,2025-04-08 14:05:44.883331
Yes,safeds,safeds.data.tabular.containers._column,970,8,CallExpr,,,Any,2025-04-08 14:05:44.883331
Yes,safeds,safeds.data.tabular.containers._column,970,8,MemberExpr,,,Any,2025-04-08 14:05:44.884486
Yes,safeds,safeds.data.tabular.containers._column,971,8,CallExpr,,,,2025-04-08 14:05:44.884486
Yes,safeds,safeds.data.tabular.containers._column,971,8,MemberExpr,,,,2025-04-08 14:05:44.884486
Yes,safeds,safeds.data.tabular.containers._row,126,15,,,,,2025-04-08 14:05:44.993336
Yes,safeds,safeds.data.tabular.containers._row,126,38,NameExpr,,,Any,2025-04-08 14:05:45.008701
Yes,safeds,safeds.data.tabular.containers._row,126,22,NameExpr,,,Any,2025-04-08 14:05:45.009700
Yes,safeds,safeds.data.tabular.containers._row,128,35,CallExpr,,,,2025-04-08 14:05:45.009700
Yes,safeds,safeds.data.tabular.containers._row,128,35,MemberExpr,,,,2025-04-08 14:05:45.010699
Yes,safeds,safeds.data.tabular.containers._row,271,15,CallExpr,,,,2025-04-08 14:05:45.044664
Yes,safeds,safeds.data.tabular.containers._row,271,15,MemberExpr,,,,2025-04-08 14:05:45.045664
Yes,safeds,safeds.data.tabular.containers._row,281,15,CallExpr,,,,2025-04-08 14:05:45.047662
Yes,safeds,safeds.data.tabular.containers._row,281,15,MemberExpr,,,,2025-04-08 14:05:45.047662
Yes,safeds,safeds.data.tabular.containers._row,281,43,CallExpr,,,,2025-04-08 14:05:45.048660
Yes,safeds,safeds.data.tabular.containers._row,281,43,MemberExpr,,,,2025-04-08 14:05:45.048660
Yes,safeds,safeds.data.tabular.containers._row,305,62,NameExpr,,,Any,2025-04-08 14:05:45.050658
Yes,safeds,safeds.data.tabular.containers._row,305,25,CallExpr,,,,2025-04-08 14:05:45.051657
Yes,safeds,safeds.data.tabular.containers._row,305,25,MemberExpr,,,,2025-04-08 14:05:45.051657
Yes,safeds,safeds.data.tabular.containers._row,306,25,CallExpr,,,,2025-04-08 14:05:45.053654
Yes,safeds,safeds.data.tabular.containers._row,306,25,MemberExpr,,,,2025-04-08 14:05:45.053654
Yes,safeds,safeds.data.tabular.containers._row,307,23,CallExpr,,,,2025-04-08 14:05:45.054653
Yes,safeds,safeds.data.tabular.containers._row,307,23,MemberExpr,,,,2025-04-08 14:05:45.054653
Yes,safeds,safeds.data.tabular.containers._row,488,66,CallExpr,,,,2025-04-08 14:05:45.116014
Yes,safeds,safeds.data.tabular.containers._row,488,66,MemberExpr,,,,2025-04-08 14:05:45.117013
Yes,safeds,safeds.data.tabular.containers._row,511,15,,,,,2025-04-08 14:05:45.119011
Yes,safeds,safeds.data.tabular.containers._table,120,48,CallExpr,,,,2025-04-08 14:05:45.140371
Yes,safeds,safeds.data.tabular.containers._table,120,48,MemberExpr,,,,2025-04-08 14:05:45.141499
Yes,safeds,safeds.data.tabular.containers._table,122,36,CallExpr,,,,2025-04-08 14:05:45.142499
Yes,safeds,safeds.data.tabular.containers._table,122,36,MemberExpr,,,,2025-04-08 14:05:45.143498
Yes,safeds,safeds.data.tabular.containers._table,163,16,CallExpr,,,,2025-04-08 14:05:45.164973
Yes,safeds,safeds.data.tabular.containers._table,163,16,MemberExpr,,,,2025-04-08 14:05:45.165973
Yes,safeds,safeds.data.tabular.containers._table,166,36,CallExpr,,,,2025-04-08 14:05:45.167088
Yes,safeds,safeds.data.tabular.containers._table,166,36,MemberExpr,,,,2025-04-08 14:05:45.167088
Yes,safeds,safeds.data.tabular.containers._table,207,48,CallExpr,,,,2025-04-08 14:05:45.182434
Yes,safeds,safeds.data.tabular.containers._table,207,48,MemberExpr,,,,2025-04-08 14:05:45.182434
Yes,safeds,safeds.data.tabular.containers._table,209,36,CallExpr,,,,2025-04-08 14:05:45.183931
Yes,safeds,safeds.data.tabular.containers._table,209,36,MemberExpr,,,,2025-04-08 14:05:45.183931
Yes,safeds,safeds.data.tabular.containers._table,275,31,CallExpr,,,,2025-04-08 14:05:45.202258
Yes,safeds,safeds.data.tabular.containers._table,275,31,MemberExpr,,,,2025-04-08 14:05:45.203361
