Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,safeds,safeds.data.image.containers._image,82,12,CallExpr,,,,2025-03-01 16:17:05.206632
Yes,safeds,safeds.data.image.containers._image,82,12,MemberExpr,,,,2025-03-01 16:17:05.208629
Yes,safeds,safeds.data.image.containers._image,86,12,NameExpr,,,Any,2025-03-01 16:17:05.209628
Yes,safeds,safeds.data.image.containers._image,81,13,CallExpr,,,,2025-03-01 16:17:05.210746
Yes,safeds,safeds.data.image.containers._image,81,13,MemberExpr,,,,2025-03-01 16:17:05.210746
Yes,safeds,safeds.data.image.containers._image,87,62,NameExpr,,,Any,2025-03-01 16:17:05.212746
Yes,safeds,safeds.data.image.containers._image,120,15,CallExpr,,,,2025-03-01 16:17:05.226960
Yes,safeds,safeds.data.image.containers._image,120,15,MemberExpr,,,,2025-03-01 16:17:05.227960
Yes,safeds,safeds.data.image.containers._image,135,17,CallExpr,,,,2025-03-01 16:17:05.230956
Yes,safeds,safeds.data.image.containers._image,135,17,MemberExpr,,,,2025-03-01 16:17:05.230956
Yes,safeds,safeds.data.image.containers._image,152,17,CallExpr,,,,2025-03-01 16:17:05.235060
Yes,safeds,safeds.data.image.containers._image,152,17,MemberExpr,,,,2025-03-01 16:17:05.236057
Yes,safeds,safeds.data.image.containers._image,375,12,CallExpr,,,,2025-03-01 16:17:05.265715
Yes,safeds,safeds.data.image.containers._image,375,12,MemberExpr,,,,2025-03-01 16:17:05.266714
Yes,safeds,safeds.data.image.containers._image,446,12,CallExpr,,,,2025-03-01 16:17:05.278008
Yes,safeds,safeds.data.image.containers._image,446,12,MemberExpr,,,,2025-03-01 16:17:05.279007
Yes,safeds,safeds.data.image.containers._image,484,12,CallExpr,,,,2025-03-01 16:17:05.288718
Yes,safeds,safeds.data.image.containers._image,484,12,MemberExpr,,,,2025-03-01 16:17:05.289719
Yes,safeds,safeds.data.image.containers._image,490,12,CallExpr,,,,2025-03-01 16:17:05.290718
Yes,safeds,safeds.data.image.containers._image,490,12,MemberExpr,,,,2025-03-01 16:17:05.290718
Yes,safeds,safeds.data.image.containers._image,546,12,CallExpr,,,,2025-03-01 16:17:05.307342
Yes,safeds,safeds.data.image.containers._image,546,12,MemberExpr,,,,2025-03-01 16:17:05.308354
Yes,safeds,safeds.data.image.containers._image,592,54,UnaryExpr,,,,2025-03-01 16:17:05.323659
Yes,safeds,safeds.data.image.containers._image,618,8,NameExpr,,,Any,2025-03-01 16:17:05.326789
Yes,safeds,safeds.data.image.containers._image,623,8,NameExpr,,,Any,2025-03-01 16:17:05.327769
Yes,safeds,safeds.data.image.containers._image,626,16,NameExpr,,,Any,2025-03-01 16:17:05.333855
Yes,safeds,safeds.data.image.containers._image,633,25,CallExpr,,,Any,2025-03-01 16:17:05.336928
Yes,safeds,safeds.data.image.containers._image,633,25,MemberExpr,,,Any,2025-03-01 16:17:05.337928
Yes,safeds,safeds.data.image.containers._image,636,27,CallExpr,,,Any,2025-03-01 16:17:05.341102
Yes,safeds,safeds.data.image.containers._image,636,27,MemberExpr,,,Any,2025-03-01 16:17:05.342102
Yes,safeds,safeds.data.image.containers._image,640,25,NameExpr,,,Any,2025-03-01 16:17:05.344100
Yes,safeds,safeds.data.tabular.containers._column,109,70,MemberExpr,,,,2025-03-01 16:17:05.350306
Yes,safeds,safeds.data.tabular.containers._column,109,70,NameExpr,,,,2025-03-01 16:17:05.351307
Yes,safeds,safeds.data.tabular.containers._column,109,86,CallExpr,,,,2025-03-01 16:17:05.351307
Yes,safeds,safeds.data.tabular.containers._column,109,86,MemberExpr,,,,2025-03-01 16:17:05.352306
Yes,safeds,safeds.data.tabular.containers._column,191,12,NameExpr,,,Any,2025-03-01 16:17:05.366665
Yes,safeds,safeds.data.tabular.containers._column,192,46,NameExpr,,,Any,2025-03-01 16:17:05.371925
Yes,safeds,safeds.data.tabular.containers._column,249,15,CallExpr,,,,2025-03-01 16:17:05.376047
