Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,safeds,safeds.data.image.containers._image,82,12,CallExpr,,,,2025-03-01 15:46:04.992972
Yes,safeds,safeds.data.image.containers._image,82,12,MemberExpr,,,,2025-03-01 15:46:04.993966
Yes,safeds,safeds.data.image.containers._image,86,12,NameExpr,,,Any,2025-03-01 15:46:04.994969
Yes,safeds,safeds.data.image.containers._image,81,13,CallExpr,,,,2025-03-01 15:46:04.995964
Yes,safeds,safeds.data.image.containers._image,81,13,MemberExpr,,,,2025-03-01 15:46:04.996963
Yes,safeds,safeds.data.image.containers._image,87,62,NameExpr,,,Any,2025-03-01 15:46:04.999965
Yes,safeds,safeds.data.image.containers._image,120,15,CallExpr,,,,2025-03-01 15:46:05.006965
Yes,safeds,safeds.data.image.containers._image,120,15,MemberExpr,,,,2025-03-01 15:46:05.006965
Yes,safeds,safeds.data.image.containers._image,135,17,CallExpr,,,,2025-03-01 15:46:05.008964
Yes,safeds,safeds.data.image.containers._image,135,17,MemberExpr,,,,2025-03-01 15:46:05.009963
Yes,safeds,safeds.data.image.containers._image,152,17,CallExpr,,,,2025-03-01 15:46:05.014963
Yes,safeds,safeds.data.image.containers._image,152,17,MemberExpr,,,,2025-03-01 15:46:05.014963
Yes,safeds,safeds.data.image.containers._image,375,12,CallExpr,,,,2025-03-01 15:46:05.040963
Yes,safeds,safeds.data.image.containers._image,375,12,MemberExpr,,,,2025-03-01 15:46:05.040963
Yes,safeds,safeds.data.image.containers._image,446,12,CallExpr,,,,2025-03-01 15:46:05.051003
Yes,safeds,safeds.data.image.containers._image,446,12,MemberExpr,,,,2025-03-01 15:46:05.051997
Yes,safeds,safeds.data.image.containers._image,484,12,CallExpr,,,,2025-03-01 15:46:05.056809
Yes,safeds,safeds.data.image.containers._image,484,12,MemberExpr,,,,2025-03-01 15:46:05.057808
Yes,safeds,safeds.data.image.containers._image,490,12,CallExpr,,,,2025-03-01 15:46:05.057808
Yes,safeds,safeds.data.image.containers._image,490,12,MemberExpr,,,,2025-03-01 15:46:05.058808
Yes,safeds,safeds.data.image.containers._image,546,12,CallExpr,,,,2025-03-01 15:46:05.066808
Yes,safeds,safeds.data.image.containers._image,546,12,MemberExpr,,,,2025-03-01 15:46:05.067807
Yes,safeds,safeds.data.image.containers._image,592,54,UnaryExpr,,,,2025-03-01 15:46:05.075808
Yes,safeds,safeds.data.image.containers._image,618,8,NameExpr,,,Any,2025-03-01 15:46:05.080821
Yes,safeds,safeds.data.image.containers._image,623,8,NameExpr,,,Any,2025-03-01 15:46:05.081807
Yes,safeds,safeds.data.image.containers._image,626,16,NameExpr,,,Any,2025-03-01 15:46:05.087837
Yes,safeds,safeds.data.image.containers._image,633,25,CallExpr,,,Any,2025-03-01 15:46:05.088803
Yes,safeds,safeds.data.image.containers._image,633,25,MemberExpr,,,Any,2025-03-01 15:46:05.088803
Yes,safeds,safeds.data.image.containers._image,636,27,CallExpr,,,Any,2025-03-01 15:46:05.089832
Yes,safeds,safeds.data.image.containers._image,636,27,MemberExpr,,,Any,2025-03-01 15:46:05.090861
Yes,safeds,safeds.data.image.containers._image,640,25,NameExpr,,,Any,2025-03-01 15:46:05.091843
Yes,safeds,safeds.data.tabular.containers._column,109,70,MemberExpr,,,,2025-03-01 15:46:05.099811
Yes,safeds,safeds.data.tabular.containers._column,109,70,NameExpr,,,,2025-03-01 15:46:05.099811
Yes,safeds,safeds.data.tabular.containers._column,109,86,CallExpr,,,,2025-03-01 15:46:05.100763
Yes,safeds,safeds.data.tabular.containers._column,109,86,MemberExpr,,,,2025-03-01 15:46:05.100763
Yes,safeds,safeds.data.tabular.containers._column,191,12,NameExpr,,,Any,2025-03-01 15:46:05.109770
Yes,safeds,safeds.data.tabular.containers._column,192,46,NameExpr,,,Any,2025-03-01 15:46:05.114768
Yes,safeds,safeds.data.tabular.containers._column,249,15,CallExpr,,,,2025-03-01 15:46:05.117768
Yes,safeds,safeds.data.tabular.containers._column,249,15,MemberExpr,,,,2025-03-01 15:46:05.117768
Yes,safeds,safeds.data.tabular.containers._column,259,15,CallExpr,,,,2025-03-01 15:46:05.120768
Yes,safeds,safeds.data.tabular.containers._column,259,15,MemberExpr,,,,2025-03-01 15:46:05.120768
Yes,safeds,safeds.data.tabular.containers._column,259,43,CallExpr,,,,2025-03-01 15:46:05.121768
Yes,safeds,safeds.data.tabular.containers._column,259,43,MemberExpr,,,,2025-03-01 15:46:05.121768
Yes,safeds,safeds.data.tabular.containers._column,259,71,CallExpr,,,,2025-03-01 15:46:05.122768
Yes,safeds,safeds.data.tabular.containers._column,259,71,MemberExpr,,,,2025-03-01 15:46:05.122768
Yes,safeds,safeds.data.tabular.containers._column,277,15,CallExpr,,,,2025-03-01 15:46:05.123768
Yes,safeds,safeds.data.tabular.containers._column,277,15,MemberExpr,,,,2025-03-01 15:46:05.124768
Yes,safeds,safeds.data.tabular.containers._column,418,40,NameExpr,,,Any,2025-03-01 15:46:05.133768
Yes,safeds,safeds.data.tabular.containers._column,418,29,NameExpr,,,Any,2025-03-01 15:46:05.134768
Yes,safeds,safeds.data.tabular.containers._column,444,40,NameExpr,,,Any,2025-03-01 15:46:05.135769
Yes,safeds,safeds.data.tabular.containers._column,444,29,NameExpr,,,Any,2025-03-01 15:46:05.136781
