Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,sklearn,No,sklearn.decomposition._dict_learning._update_dict.458.0,18,17,14,0,3,0.9444444444444444,0.7777777777777778,Impure,Impure,2025-03-01 14:34:58.532601
No,sklearn,No,sklearn.decomposition._dict_learning.dict_learning.1086.0,187506817057677077284447029861883653611207540630271745986074672256689792939,190268668115041963959533701020280506045185407309209559814873848128383161777,142605811985638507756448998182554981897194737870384944691698579616588276567,1343238102141278730410057461264061428450859920020379000471022600750394686,344,1.014729336782008,0.7605366792705621,Impure,Impure,2025-03-01 14:34:58.540688
No,sklearn,No,sklearn.decomposition._factor_analysis.get_covariance.342.4,218,223,169,1,11,1.0229357798165137,0.7752293577981652,Impure,Impure,2025-03-01 14:34:58.541687
No,sklearn,No,sklearn.decomposition._factor_analysis.get_precision.358.4,461,472,355,2,12,1.0238611713665944,0.7700650759219089,Impure,Impure,2025-03-01 14:34:58.542685
No,sklearn,No,sklearn.decomposition._factor_analysis.score_samples.386.4,592404,601231,450063,4284,33,1.014900304521914,0.7597230943747848,Impure,Impure,2025-03-01 14:34:58.543684
No,sklearn,No,sklearn.decomposition._kernel_pca._more_tags.560.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 14:34:58.544801
No,sklearn,No,sklearn.decomposition._lda._e_step.430.4,14,14,12,1,2,1.0,0.8571428571428571,Impure,Impure,2025-03-01 14:34:58.553983
No,sklearn,No,sklearn.decomposition._lda._em_step.496.4,16,16,13,1,3,1.0,0.8125,Impure,Impure,2025-03-01 14:34:58.555121
No,sklearn,No,sklearn.decomposition._nmf._n_features_out.1298.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 14:34:58.557123
No,sklearn,Yes,sklearn.decomposition._pca.fit.417.4,827051348509551362708890053597967365708495838738671834,839233266357762408844737387130182252702527499435596191,629002886181694515297156551437548517850766126619729581,5924727970842969793222629564990456701324077820910263,238,1.014729336782008,0.7605366792705621,Impure,Impure,2025-03-01 14:34:58.567377
No,sklearn,Yes,sklearn.decomposition._pca.score.678.4,7940782,8059028,6032666,57450,41,1.0148909767325183,0.7597067895831922,Impure,Impure,2025-03-01 14:34:58.568358
No,sklearn,No,sklearn.decomposition._truncated_svd.__init__.174.4,1,0,1,0,0,0.0,1.0,Impure,Pure,2025-03-01 14:34:58.569357
No,sklearn,Yes,sklearn.discriminant_analysis._solve_eigen.413.4,45,46,30,2,5,1.0222222222222221,0.6666666666666666,Impure,Impure,2025-03-01 14:34:58.570542
No,sklearn,No,sklearn.dummy._more_tags.414.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 14:34:58.591244
No,sklearn,No,sklearn.dummy._more_tags.648.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 14:34:58.597756
No,sklearn,No,sklearn.ensemble._bagging._set_oob_score.1245.4,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-03-01 14:34:58.598755
No,sklearn,No,sklearn.ensemble._bagging._validate_y.507.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 14:34:58.620513
