Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
Yes,matplotlib,matplotlib.animation,correct_roundoff,92,11,No,1,1,Found same amount of functions,correct_roundoff.(),correct_roundoff,2025-01-17 16:23:21.243526
Yes,matplotlib,matplotlib.animation,correct_roundoff,92,43,No,1,1,Found same amount of functions,correct_roundoff.(),correct_roundoff,2025-01-17 16:23:21.244507
Yes,matplotlib,matplotlib.animation,type,287,11,No,0,0,Found same amount of functions,type.(),builtins.type,2025-01-17 16:23:21.247503
Yes,matplotlib,matplotlib.animation,__init__,296,8,Yes,5,172,,super.().__init__.(),matplotlib.animation.MovieWriter,2025-01-17 16:23:21.254509
Yes,matplotlib,matplotlib.animation,__init__,388,8,Yes,3,172,,super.().__init__.(),matplotlib.animation.FileMovieWriter,2025-01-17 16:23:21.260491
Yes,matplotlib,matplotlib.animation,check_in_list,729,8,No,0,1,Found no referenced functions,_api.check_in_list.(),matplotlib._api,2025-01-17 16:23:21.262489
Yes,matplotlib,matplotlib.animation,__init__,740,8,Yes,2,202,,super.().__init__.(),matplotlib.animation.HTMLWriter,2025-01-17 16:23:21.268484
Yes,matplotlib,matplotlib.animation,new_frame_seq,868,25,No,2,2,Found same amount of functions,self.new_frame_seq.(),matplotlib.animation.Animation,2025-01-17 16:23:21.272479
Yes,matplotlib,matplotlib.animation,mpl_connect,873,30,No,0,1,Found no referenced functions,fig.canvas.mpl_connect.(),fig,2025-01-17 16:23:21.272479
Yes,matplotlib,matplotlib.animation,mpl_connect,877,25,No,0,1,Found no referenced functions,self._fig.canvas.mpl_connect.(),matplotlib.animation.Animation,2025-01-17 16:23:21.273478
Yes,matplotlib,matplotlib.animation,_setup_blit,880,12,No,1,1,Found same amount of functions,self._setup_blit.(),matplotlib.animation.Animation,2025-01-17 16:23:21.273478
Yes,matplotlib,matplotlib.animation,new_timer,1415,27,No,0,2,Found no referenced functions,fig.canvas.new_timer.(),fig,2025-01-17 16:23:21.278586
Yes,matplotlib,matplotlib.animation,__init__,1416,8,Yes,4,168,,super.().__init__.(),matplotlib.animation.TimedAnimation,2025-01-17 16:23:21.283331
Yes,matplotlib,matplotlib.animation,__init__,1490,8,Yes,3,173,,super.().__init__.(),matplotlib.animation.ArtistAnimation,2025-01-17 16:23:21.288831
Yes,matplotlib,matplotlib.animation,warn_external,1674,16,No,0,1,Found no referenced functions,_api.warn_external.(),matplotlib._api,2025-01-17 16:23:21.290829
Yes,matplotlib,matplotlib.animation,warn_external,1679,12,No,0,1,Found no referenced functions,_api.warn_external.(),matplotlib._api,2025-01-17 16:23:21.291828
Yes,matplotlib,matplotlib.animation,__init__,1694,8,Yes,3,172,,super.().__init__.(),matplotlib.animation.FuncAnimation,2025-01-17 16:23:21.296822
Yes,matplotlib,matplotlib.artist,type,200,26,No,0,0,Found same amount of functions,type.(),builtins.type,2025-01-17 16:23:21.300819
Yes,matplotlib,matplotlib.artist,list,1435,20,No,0,0,Found same amount of functions,list.(),builtins.list,2025-01-17 16:23:21.307811
Yes,matplotlib,matplotlib.artist,type,1441,16,No,0,0,Found same amount of functions,type.(),builtins.type,2025-01-17 16:23:21.308810
Yes,matplotlib,matplotlib.artist,get_aliases,1444,22,No,1,1,Found same amount of functions,self.get_aliases.(),matplotlib.artist.ArtistInspector,2025-01-17 16:23:21.309809
Yes,matplotlib,matplotlib.axis,__init__,86,8,Yes,72,359,,super.().__init__.(),matplotlib.axis.Tick,2025-01-17 16:23:21.593505
Yes,matplotlib,matplotlib.axis,set_figure,98,8,Yes,1,11,,self.set_figure.(),matplotlib.axis.Tick,2025-01-17 16:23:21.594520
Yes,matplotlib,matplotlib.axis,_set_labelrotation,132,8,No,1,1,Found same amount of functions,self._set_labelrotation.(),matplotlib.axis.Tick,2025-01-17 16:23:21.594520
Yes,matplotlib,matplotlib.axis,_has_alpha_channel,147,38,No,0,1,Found no referenced functions,mcolors._has_alpha_channel.(),matplotlib.colors,2025-01-17 16:23:21.595519
Yes,matplotlib,matplotlib.axis,get_path,172,8,No,0,17,Found no referenced functions,self.gridline.get_path.(),matplotlib.axis.Tick,2025-01-17 16:23:21.596518
Yes,matplotlib,matplotlib.axis,_apply_tickdir,183,8,No,3,3,Found same amount of functions,self._apply_tickdir.(),matplotlib.axis.Tick,2025-01-17 16:23:21.597516
Yes,matplotlib,matplotlib.axis,_set_artist_props,187,12,Yes,1,5,,self._set_artist_props.(),matplotlib.axis.Tick,2025-01-17 16:23:21.598516
Yes,matplotlib,matplotlib.axis,update_position,189,8,No,5,5,Found same amount of functions,self.update_position.(),matplotlib.axis.Tick,2025-01-17 16:23:21.598516
Yes,matplotlib,matplotlib.axis,__init__,417,8,Yes,5,172,,super.().__init__.(),matplotlib.axis.XTick,2025-01-17 16:23:21.628486
Yes,matplotlib,matplotlib.axis,set,420,8,No,0,6,Found no referenced functions,self.tick1line.set.(),matplotlib.axis.XTick,2025-01-17 16:23:21.628486
Yes,matplotlib,matplotlib.axis,set,422,8,No,0,6,Found no referenced functions,self.tick2line.set.(),matplotlib.axis.XTick,2025-01-17 16:23:21.629484
Yes,matplotlib,matplotlib.axis,set,424,8,No,0,6,Found no referenced functions,self.gridline.set.(),matplotlib.axis.XTick,2025-01-17 16:23:21.629484
Yes,matplotlib,matplotlib.axis,set,428,8,No,0,7,Found no referenced functions,self.label1.set.(),matplotlib.axis.XTick,2025-01-17 16:23:21.630466
Yes,matplotlib,matplotlib.axis,set,433,8,No,0,7,Found no referenced functions,self.label2.set.(),matplotlib.axis.XTick,2025-01-17 16:23:21.630466
Yes,matplotlib,matplotlib.axis,get_xaxis_transform,421,39,No,0,3,Found no referenced functions,ax.get_xaxis_transform.(),ax,2025-01-17 16:23:21.631464
Yes,matplotlib,matplotlib.axis,get_xaxis_transform,423,39,No,0,3,Found no referenced functions,ax.get_xaxis_transform.(),ax,2025-01-17 16:23:21.631464
Yes,matplotlib,matplotlib.axis,get_xaxis_transform,425,45,No,0,3,Found no referenced functions,ax.get_xaxis_transform.(),ax,2025-01-17 16:23:21.632463
Yes,matplotlib,matplotlib.axis,_get_text1_transform,427,24,Yes,1,3,,self._get_text1_transform.(),matplotlib.axis.XTick,2025-01-17 16:23:21.632463
Yes,matplotlib,matplotlib.axis,_get_text2_transform,432,24,Yes,1,3,,self._get_text2_transform.(),matplotlib.axis.XTick,2025-01-17 16:23:21.633462
Yes,matplotlib,matplotlib.axis,__init__,478,8,Yes,5,172,,super.().__init__.(),matplotlib.axis.YTick,2025-01-17 16:23:21.641454
Yes,matplotlib,matplotlib.axis,set,481,8,No,0,6,Found no referenced functions,self.tick1line.set.(),matplotlib.axis.YTick,2025-01-17 16:23:21.642453
Yes,matplotlib,matplotlib.axis,set,483,8,No,0,6,Found no referenced functions,self.tick2line.set.(),matplotlib.axis.YTick,2025-01-17 16:23:21.642453
Yes,matplotlib,matplotlib.axis,set,485,8,No,0,6,Found no referenced functions,self.gridline.set.(),matplotlib.axis.YTick,2025-01-17 16:23:21.643452
Yes,matplotlib,matplotlib.axis,set,489,8,No,0,7,Found no referenced functions,self.label1.set.(),matplotlib.axis.YTick,2025-01-17 16:23:21.643452
Yes,matplotlib,matplotlib.axis,set,494,8,No,0,7,Found no referenced functions,self.label2.set.(),matplotlib.axis.YTick,2025-01-17 16:23:21.644450
Yes,matplotlib,matplotlib.axis,get_yaxis_transform,482,39,No,0,3,Found no referenced functions,ax.get_yaxis_transform.(),ax,2025-01-17 16:23:21.644450
Yes,matplotlib,matplotlib.axis,get_yaxis_transform,484,39,No,0,3,Found no referenced functions,ax.get_yaxis_transform.(),ax,2025-01-17 16:23:21.644450
Yes,matplotlib,matplotlib.axis,get_yaxis_transform,486,45,No,0,3,Found no referenced functions,ax.get_yaxis_transform.(),ax,2025-01-17 16:23:21.645450
Yes,matplotlib,matplotlib.axis,_get_text1_transform,488,24,Yes,1,3,,self._get_text1_transform.(),matplotlib.axis.YTick,2025-01-17 16:23:21.645450
Yes,matplotlib,matplotlib.axis,_get_text2_transform,493,24,Yes,1,3,,self._get_text2_transform.(),matplotlib.axis.YTick,2025-01-17 16:23:21.646448
