Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,matplotlib,matplotlib.animation,correct_roundoff,92,11,No,1,1,Found same amount of functions,correct_roundoff.(),correct_roundoff,,2025-04-08 23:24:05.591286
Yes,matplotlib,matplotlib.animation,correct_roundoff,92,43,No,1,1,Found same amount of functions,correct_roundoff.(),correct_roundoff,,2025-04-08 23:24:05.593281
Yes,matplotlib,matplotlib.animation,type,287,11,No,0,0,Found same amount of functions,type.(),builtins.type,,2025-04-08 23:24:05.598281
Yes,matplotlib,matplotlib.animation,__init__,296,8,Yes,4,165,,super.().__init__.(),matplotlib.animation.MovieWriter,,2025-04-08 23:24:05.604280
Yes,matplotlib,matplotlib.animation,__init__,388,8,Yes,3,166,,super.().__init__.(),matplotlib.animation.FileMovieWriter,,2025-04-08 23:24:05.614102
Yes,matplotlib,matplotlib.animation,check_in_list,729,8,No,1,1,Found same amount of functions,_api.check_in_list.(),matplotlib._api,,2025-04-08 23:24:05.619130
Yes,matplotlib,matplotlib.animation,__init__,740,8,Yes,2,195,,super.().__init__.(),matplotlib.animation.HTMLWriter,,2025-04-08 23:24:05.624124
Yes,matplotlib,matplotlib.animation,new_frame_seq,868,25,No,2,2,Found same amount of functions,self.new_frame_seq.(),"NamedType(name='Animation', qname='matplotlib.animation.Animation')",,2025-04-08 23:24:05.629091
Yes,matplotlib,matplotlib.animation,mpl_connect,873,30,No,0,1,Found no referenced functions,fig.canvas.mpl_connect.(),fig,MemberExpr:873(  NameExpr(fig [l])  canvas) Type is Any No missing import name ,2025-04-08 23:24:05.630105
Yes,matplotlib,matplotlib.animation,mpl_connect,877,25,No,0,1,Found no referenced functions,self._fig.canvas.mpl_connect.(),"NamedType(name='Animation', qname='matplotlib.animation.Animation')","MemberExpr:877(  NameExpr(self [l])  _fig) Missing type info of: _fig, at path part _fig | ",2025-04-08 23:24:05.630105
Yes,matplotlib,matplotlib.animation,_setup_blit,880,12,No,1,1,Found same amount of functions,self._setup_blit.(),"NamedType(name='Animation', qname='matplotlib.animation.Animation')",,2025-04-08 23:24:05.631118
Yes,matplotlib,matplotlib.animation,new_timer,1415,27,No,0,2,Found no referenced functions,fig.canvas.new_timer.(),fig,MemberExpr:1415(  NameExpr(fig [l])  canvas) Type is Any No missing import name ,2025-04-08 23:24:05.638980
Yes,matplotlib,matplotlib.animation,__init__,1416,8,Yes,4,162,,super.().__init__.(),matplotlib.animation.TimedAnimation,,2025-04-08 23:24:05.643997
Yes,matplotlib,matplotlib.animation,__init__,1490,8,Yes,3,167,,super.().__init__.(),matplotlib.animation.ArtistAnimation,,2025-04-08 23:24:05.653029
Yes,matplotlib,matplotlib.animation,warn_external,1674,16,No,1,1,Found same amount of functions,_api.warn_external.(),matplotlib._api,,2025-04-08 23:24:05.655535
Yes,matplotlib,matplotlib.animation,warn_external,1679,12,No,1,1,Found same amount of functions,_api.warn_external.(),matplotlib._api,,2025-04-08 23:24:05.656578
Yes,matplotlib,matplotlib.animation,__init__,1694,8,Yes,3,166,,super.().__init__.(),matplotlib.animation.FuncAnimation,,2025-04-08 23:24:05.662690
Yes,matplotlib,matplotlib.artist,type,200,26,No,0,0,Found same amount of functions,type.(),builtins.type,,2025-04-08 23:24:05.666708
Yes,matplotlib,matplotlib.artist,list,1435,20,No,0,0,Found same amount of functions,list.(),builtins.list,,2025-04-08 23:24:05.677717
Yes,matplotlib,matplotlib.artist,type,1441,16,No,0,0,Found same amount of functions,type.(),builtins.type,,2025-04-08 23:24:05.677717
Yes,matplotlib,matplotlib.artist,get_aliases,1444,22,No,1,1,Found same amount of functions,self.get_aliases.(),"NamedType(name='ArtistInspector', qname='matplotlib.artist.ArtistInspector')",,2025-04-08 23:24:05.678959
Yes,matplotlib,matplotlib.axis,__init__,86,8,Yes,72,342,,super.().__init__.(),matplotlib.axis.Tick,,2025-04-08 23:24:05.688964
