Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,matplotlib,matplotlib.axis,set,424,8,No,0,4,Found no referenced functions,self.gridline.set.(),"NamedType(name='XTick', qname='matplotlib.axis.XTick')","MemberExpr:424(  NameExpr(self [l])  gridline) Missing type info of: gridline, at path part gridline | ",2025-03-01 22:52:54.797754
Yes,matplotlib,matplotlib.axis,set,428,8,No,0,5,Found no referenced functions,self.label1.set.(),"NamedType(name='XTick', qname='matplotlib.axis.XTick')","MemberExpr:428(  NameExpr(self [l])  label1) Missing type info of: label1, at path part label1 | ",2025-03-01 22:52:54.797754
Yes,matplotlib,matplotlib.axis,set,433,8,No,0,5,Found no referenced functions,self.label2.set.(),"NamedType(name='XTick', qname='matplotlib.axis.XTick')","MemberExpr:433(  NameExpr(self [l])  label2) Missing type info of: label2, at path part label2 | ",2025-03-01 22:52:54.798740
Yes,matplotlib,matplotlib.axis,get_xaxis_transform,421,39,No,0,3,Found no referenced functions,ax.get_xaxis_transform.(),ax,MemberExpr:421(  NameExpr(ax [l])  get_xaxis_transform) Type is Any No missing import name ,2025-03-01 22:52:54.798740
Yes,matplotlib,matplotlib.axis,get_xaxis_transform,423,39,No,0,3,Found no referenced functions,ax.get_xaxis_transform.(),ax,MemberExpr:423(  NameExpr(ax [l])  get_xaxis_transform) Type is Any No missing import name ,2025-03-01 22:52:54.799874
Yes,matplotlib,matplotlib.axis,get_xaxis_transform,425,45,No,0,3,Found no referenced functions,ax.get_xaxis_transform.(),ax,MemberExpr:425(  NameExpr(ax [l])  get_xaxis_transform) Type is Any No missing import name ,2025-03-01 22:52:54.800886
Yes,matplotlib,matplotlib.axis,_get_text1_transform,427,24,Yes,1,3,,self._get_text1_transform.(),"NamedType(name='XTick', qname='matplotlib.axis.XTick')",,2025-03-01 22:52:54.800886
Yes,matplotlib,matplotlib.axis,_get_text2_transform,432,24,Yes,1,3,,self._get_text2_transform.(),"NamedType(name='XTick', qname='matplotlib.axis.XTick')",,2025-03-01 22:52:54.801873
Yes,matplotlib,matplotlib.axis,__init__,478,8,Yes,5,166,,super.().__init__.(),matplotlib.axis.YTick,,2025-03-01 22:52:54.810095
Yes,matplotlib,matplotlib.axis,set,481,8,No,0,4,Found no referenced functions,self.tick1line.set.(),"NamedType(name='YTick', qname='matplotlib.axis.YTick')","MemberExpr:481(  NameExpr(self [l])  tick1line) Missing type info of: tick1line, at path part tick1line | ",2025-03-01 22:52:54.811096
Yes,matplotlib,matplotlib.axis,set,483,8,No,0,4,Found no referenced functions,self.tick2line.set.(),"NamedType(name='YTick', qname='matplotlib.axis.YTick')","MemberExpr:483(  NameExpr(self [l])  tick2line) Missing type info of: tick2line, at path part tick2line | ",2025-03-01 22:52:54.812113
Yes,matplotlib,matplotlib.axis,set,485,8,No,0,4,Found no referenced functions,self.gridline.set.(),"NamedType(name='YTick', qname='matplotlib.axis.YTick')","MemberExpr:485(  NameExpr(self [l])  gridline) Missing type info of: gridline, at path part gridline | ",2025-03-01 22:52:54.812113
Yes,matplotlib,matplotlib.axis,set,489,8,No,0,5,Found no referenced functions,self.label1.set.(),"NamedType(name='YTick', qname='matplotlib.axis.YTick')","MemberExpr:489(  NameExpr(self [l])  label1) Missing type info of: label1, at path part label1 | ",2025-03-01 22:52:54.813111
Yes,matplotlib,matplotlib.axis,set,494,8,No,0,5,Found no referenced functions,self.label2.set.(),"NamedType(name='YTick', qname='matplotlib.axis.YTick')","MemberExpr:494(  NameExpr(self [l])  label2) Missing type info of: label2, at path part label2 | ",2025-03-01 22:52:54.813111
Yes,matplotlib,matplotlib.axis,get_yaxis_transform,482,39,No,0,3,Found no referenced functions,ax.get_yaxis_transform.(),ax,MemberExpr:482(  NameExpr(ax [l])  get_yaxis_transform) Type is Any No missing import name ,2025-03-01 22:52:54.814093
Yes,matplotlib,matplotlib.axis,get_yaxis_transform,484,39,No,0,3,Found no referenced functions,ax.get_yaxis_transform.(),ax,MemberExpr:484(  NameExpr(ax [l])  get_yaxis_transform) Type is Any No missing import name ,2025-03-01 22:52:54.814093
Yes,matplotlib,matplotlib.axis,get_yaxis_transform,486,45,No,0,3,Found no referenced functions,ax.get_yaxis_transform.(),ax,MemberExpr:486(  NameExpr(ax [l])  get_yaxis_transform) Type is Any No missing import name ,2025-03-01 22:52:54.815224
Yes,matplotlib,matplotlib.axis,_get_text1_transform,488,24,Yes,1,3,,self._get_text1_transform.(),"NamedType(name='YTick', qname='matplotlib.axis.YTick')",,2025-03-01 22:52:54.816242
Yes,matplotlib,matplotlib.axis,_get_text2_transform,493,24,Yes,1,3,,self._get_text2_transform.(),"NamedType(name='YTick', qname='matplotlib.axis.YTick')",,2025-03-01 22:52:54.816242
Yes,matplotlib,matplotlib.axis,make_keyword_only,643,5,No,0,1,No call reference,,None,,2025-03-01 22:52:54.822361
Yes,matplotlib,matplotlib.axis,__init__,654,8,Yes,72,342,,super.().__init__.(),matplotlib.axis.Axis,,2025-03-01 22:52:54.826488
Yes,matplotlib,matplotlib.axis,set_figure,657,8,Yes,1,11,,self.set_figure.(),"NamedType(name='Axis', qname='matplotlib.axis.Axis')",,2025-03-01 22:52:54.828486
Yes,matplotlib,matplotlib.axis,_set_artist_props,674,8,Yes,1,5,,self._set_artist_props.(),"NamedType(name='Axis', qname='matplotlib.axis.Axis')",,2025-03-01 22:52:54.829485
Yes,matplotlib,matplotlib.axis,_set_artist_props,676,8,Yes,1,5,,self._set_artist_props.(),"NamedType(name='Axis', qname='matplotlib.axis.Axis')",,2025-03-01 22:52:54.830617
Yes,matplotlib,matplotlib.axis,clear,686,8,Yes,3,14,,self.clear.(),"NamedType(name='Axis', qname='matplotlib.axis.Axis')",,2025-03-01 22:52:54.831618
Yes,matplotlib,matplotlib.axis,__init__,2234,8,Yes,4,166,,super.().__init__.(),matplotlib.axis.XAxis,,2025-03-01 22:52:54.843850
Yes,matplotlib,matplotlib.axis,_init,2235,8,Yes,1,7,,self._init.(),"NamedType(name='XAxis', qname='matplotlib.axis.XAxis')",,2025-03-01 22:52:54.844848
Yes,matplotlib,matplotlib.axis,__init__,2493,8,Yes,4,166,,super.().__init__.(),matplotlib.axis.YAxis,,2025-03-01 22:52:54.849981
