matplotlib.backends.backend_wx.gui_repaint.594.4,Impure,,,,
matplotlib.backends.backend_wx.set_history_buttons.1195.4,Impure,,,,
matplotlib.backends.qt_compat._isdeleted.105.8,Impure,,,,
matplotlib.backends.qt_editor._formlayout.fedit.500.0,Impure,,,,
matplotlib.backends.qt_editor._formlayout.update_text.124.4,Impure,,,,
matplotlib.bezier.split_path_inout.343.0,Impure,,,,
matplotlib.category._str_is_convertible.184.4,Impure,,,,
matplotlib.cm.norm.594.4,Impure,setter,,,
matplotlib.collections.QuadMesh.1892.0,Impure,CLASS,WTF!!,,
matplotlib.collections.set_hatch.496.4,Impure,,,,
matplotlib.colorbar._update_dividers.603.4,Impure,,,,
matplotlib.colors._has_alpha_channel.231.0,Pure,,,,
matplotlib.colors.get_over.805.4,Impure,,,,
matplotlib.colors.reversed.874.4,Pure,,,,
matplotlib.colors.to_rgba_array.399.0,Impure,,,,
matplotlib.colors.vcenter.1438.4,Impure,property,,,
matplotlib.container.__init__.128.4,Impure,,,,
matplotlib.contour.add_label_clabeltext.434.4,Impure,,,,
matplotlib.contour.remove.559.4,Impure,,,,
matplotlib.dates.set_epoch.276.0,Impure,,,,
matplotlib.dviread.__new__.1036.4,Impure,,,,
matplotlib.figure._make_array.1976.8,Impure,,,,
matplotlib.figure.draw_without_rendering.3187.4,Impure,,,,
matplotlib.figure.set_layout_engine.2622.4,Impure,,,,
matplotlib.font_manager._findfont_cached.1362.4,Impure,,,,
matplotlib.font_manager.get_font.1494.0,Impure,,,,
matplotlib.font_manager.set_stretch.783.4,Impure,,,,
matplotlib.gridspec._from_subplot_args.563.4,Impure,,,,
matplotlib.gridspec.is_last_col.656.4,Impure,,,,
matplotlib.image.__init__.1047.4,Impure,,,,
matplotlib.image._rgb_to_rgba.216.0,Impure,,,,
matplotlib.image.get_resample.816.4,Impure,FP!!!,,def get_resample(self):,
matplotlib.layout_engine.get.92.4,Impure,,,"    """"""Return whether image resampling is used.""""""",
matplotlib.legend._init_legend_box.808.4,Impure,,,    return self._resample,
matplotlib.legend.contains.1160.4,Impure,,,,
matplotlib.legend.get_frame_on.1028.4,Impure,,,,
matplotlib.legend.get_title.1014.4,Impure,,,,
matplotlib.legend_handler.create_artists.286.4,Impure,,,,
matplotlib.legend_handler.create_artists.666.4,Impure,,,,
matplotlib.lines.__str__.261.4,Impure,,,,
matplotlib.lines._scale_dashes.63.0,Impure,,,,
matplotlib.lines._set_markercolor.1195.4,Impure,,,,
matplotlib.lines.is_dashed.1453.4,Impure,,,,
matplotlib.markers._set_tri_down.824.4,Impure,,,,
matplotlib.mathtext._update_bbox.107.4,Impure,,,,
matplotlib.mathtext.get_results.141.4,Impure,,,,
matplotlib.mlab.silverman_factor.931.4,Impure,,,,
matplotlib.offsetbox.draw.1210.4,Impure,,,,
matplotlib.offsetbox.update_frame.585.4,Impure,,,,
matplotlib.patches.__call__.2407.8,Impure,,,,
matplotlib.patches.__call__.2720.8,Impure,,,,
matplotlib.patches.__init__.2375.8,Pure,,,,
matplotlib.patches._transform_verts.1824.4,Impure,,,,
matplotlib.patches.set_path.958.4,Impure,,,,
matplotlib.patches.set_radius.1229.4,Impure,,,,
matplotlib.path.contains_point.498.4,Impure,,,,
matplotlib.path.unit_rectangle.731.4,Impure,,,,
matplotlib.patheffects.draw_path.427.4,Impure,,,,
matplotlib.projections.geo.__init__.329.4,Impure,,,,
matplotlib.projections.geo.can_pan.207.4,Pure,,,,
matplotlib.projections.geo.inverted.280.8,Impure,,,,
matplotlib.projections.geo.transform_non_affine.425.8,Impure,,,,
matplotlib.projections.polar._set_scale.424.4,Impure,,,,
matplotlib.projections.polar.transform_path_non_affine.79.4,Impure,,,,
matplotlib.pyplot._get_pyplot_commands.2112.0,Impure,,,,
matplotlib.pyplot.figimage.2292.0,Impure,,,,
matplotlib.pyplot.figure.692.0,Impure,,,,
matplotlib.pyplot.gcf.893.0,Impure,,,,
matplotlib.pyplot.imsave.2199.0,Impure,,,,
matplotlib.pyplot.install_repl_displayhook.123.0,Impure,,,,
matplotlib.pyplot.nipy_spectral.3315.0,Impure,,,,
matplotlib.pyplot.rc_context.593.0,Impure,,,,
matplotlib.pyplot.twinx.1686.0,Impure,,,,
matplotlib.pyplot.xlabel.3090.0,Impure,,,,
matplotlib.quiver._set_transform.587.4,Impure,,,,
matplotlib.quiver.set_UVC.546.4,Impure,,,,
matplotlib.scale.inverted.474.4,Impure,,,,
matplotlib.scale.limit_range_for_scale.78.4,Pure,,,,
matplotlib.scale.transform_non_affine.152.4,Impure,,,,
matplotlib.scale.transform_non_affine.586.4,Impure,,,,
matplotlib.spines.__getattr__.551.4,Impure,FP!!!,,"def __getattr__(self, name):",
matplotlib.spines.get_bounds.421.4,Impure,,,    try:,
matplotlib.streamplot.forward_time.450.4,Impure,,,        return self._dict[name],
matplotlib.streamplot.grid2mask.286.4,Impure,,,    except KeyError:,
matplotlib.table.set_fontsize.547.4,Impure,,,        raise AttributeError(,
