Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
Yes,seaborn,seaborn.algorithms,map,37,26,Yes,0,3,,map.(),builtins.map,,2025-04-09 06:17:10.271608
Yes,seaborn,seaborn.algorithms,map,60,16,Yes,0,3,,map.(),builtins.map,,2025-04-09 06:17:10.273768
Yes,seaborn,seaborn.algorithms,_handle_random_seed,57,10,No,1,1,Found same amount of functions,_handle_random_seed.(),seaborn.algorithms._handle_random_seed,,2025-04-09 06:17:10.274767
Yes,seaborn,seaborn.algorithms,_structured_bootstrap,91,15,No,1,1,Found same amount of functions,_structured_bootstrap.(),seaborn.algorithms._structured_bootstrap,,2025-04-09 06:17:10.280832
Yes,seaborn,seaborn.algorithms,f,98,25,No,0,0,Found no referenced functions,f.(),f,NameExpr(f [l]) Type is Any No missing import name ,2025-04-09 06:17:10.281868
Yes,seaborn,seaborn.algorithms,map,113,18,Yes,0,3,,map.(),builtins.map,,2025-04-09 06:17:10.292877
Yes,seaborn,seaborn.algorithms,map,116,22,Yes,0,3,,map.(),builtins.map,,2025-04-09 06:17:10.293860
Yes,seaborn,seaborn.axisgrid,set,39,16,No,0,2,Found no referenced functions,ax.set.(),ax,MemberExpr:39(  NameExpr(ax [l])  set) Type is Any No missing import name ,2025-04-09 06:17:10.304865
Yes,seaborn,seaborn.rcmod,set_theme,132,4,No,1,0,Found more functions than old purity analysis,set_theme.(),seaborn.rcmod.set_theme,,2025-04-09 06:17:10.304865
Yes,seaborn,seaborn._core.groupby,_get_groups,110,26,No,1,1,Found same amount of functions,self._get_groups.(),"NamedType(name='GroupBy', qname='seaborn._core.groupby.GroupBy')",,2025-04-09 06:17:10.305862
Yes,seaborn,seaborn._core.groupby,_reorder_columns,113,19,No,1,1,Found same amount of functions,self._reorder_columns.(),"NamedType(name='GroupBy', qname='seaborn._core.groupby.GroupBy')",,2025-04-09 06:17:10.305862
Yes,seaborn,seaborn._core.groupby,_reorder_columns,129,15,No,1,1,Found same amount of functions,self._reorder_columns.(),"NamedType(name='GroupBy', qname='seaborn._core.groupby.GroupBy')",,2025-04-09 06:17:10.306844
Yes,seaborn,seaborn.axisgrid,savefig,95,8,No,0,1,Found no referenced functions,self.figure.savefig.(),"NamedType(name='_BaseGrid', qname='seaborn.axisgrid._BaseGrid')","MemberExpr:95(  NameExpr(self [l])  figure) The found method has no result figure and is not the last in path, at path part figure | ",2025-04-09 06:17:10.307843
Yes,seaborn,seaborn.axisgrid,__init__,376,8,Yes,3,24,,super.().__init__.(),seaborn.axisgrid.FacetGrid,,2025-04-09 06:17:10.308861
Yes,seaborn,seaborn.axisgrid,categorical_order,383,24,No,0,2,Found no referenced functions,categorical_order.(),seaborn._oldcore.categorical_order,,2025-04-09 06:17:10.309860
Yes,seaborn,seaborn.axisgrid,categorical_order,391,24,No,0,2,Found no referenced functions,categorical_order.(),seaborn._oldcore.categorical_order,,2025-04-09 06:17:10.310841
Yes,seaborn,seaborn.axisgrid,categorical_order,396,24,No,0,2,Found no referenced functions,categorical_order.(),seaborn._oldcore.categorical_order,,2025-04-09 06:17:10.310841
Yes,seaborn,seaborn.axisgrid,_get_palette,385,17,No,1,1,Found same amount of functions,self._get_palette.(),"NamedType(name='FacetGrid', qname='seaborn.axisgrid.FacetGrid')",,2025-04-09 06:17:10.311839
Yes,seaborn,seaborn.axisgrid,_disable_autolayout,446,13,No,0,1,Found no referenced functions,_disable_autolayout.(),seaborn.utils._disable_autolayout,NameExpr(_disable_autolayout [seaborn.utils._disable_autolayout]) Mypy Node is a mp_nodes.Decorator ,2025-04-09 06:17:10.314847
Yes,seaborn,seaborn.axisgrid,figure,447,18,No,0,0,Found no referenced functions,plt.figure.(),matplotlib.pyplot,MemberExpr:447(  NameExpr(plt [matplotlib.pyplot])  figure [matplotlib.pyplot.figure]) Mypy Node is a mp_nodes.MypyFile ,2025-04-09 06:17:10.314847
Yes,seaborn,seaborn.axisgrid,set_titles,525,8,No,1,1,Found same amount of functions,self.set_titles.(),"NamedType(name='FacetGrid', qname='seaborn.axisgrid.FacetGrid')",,2025-04-09 06:17:10.315849
Yes,seaborn,seaborn.axisgrid,tight_layout,526,8,No,1,1,Found same amount of functions,self.tight_layout.(),"NamedType(name='FacetGrid', qname='seaborn.axisgrid.FacetGrid')",,2025-04-09 06:17:10.316834
Yes,seaborn,seaborn.axisgrid,despine,529,12,Yes,1,2,,self.despine.(),"NamedType(name='FacetGrid', qname='seaborn.axisgrid.FacetGrid')",,2025-04-09 06:17:10.316834
Yes,seaborn,seaborn.axisgrid,__init__,1242,8,Yes,3,24,,super.().__init__.(),seaborn.axisgrid.PairGrid,,2025-04-09 06:17:10.323842
Yes,seaborn,seaborn.axisgrid,_find_numeric_cols,1245,23,No,1,1,Found same amount of functions,self._find_numeric_cols.(),"NamedType(name='PairGrid', qname='seaborn.axisgrid.PairGrid')",,2025-04-09 06:17:10.323842
Yes,seaborn,seaborn.axisgrid,_disable_autolayout,1273,13,No,0,1,Found no referenced functions,_disable_autolayout.(),seaborn.utils._disable_autolayout,NameExpr(_disable_autolayout [seaborn.utils._disable_autolayout]) Mypy Node is a mp_nodes.Decorator ,2025-04-09 06:17:10.325843
Yes,seaborn,seaborn.axisgrid,figure,1274,18,No,0,0,Found no referenced functions,plt.figure.(),matplotlib.pyplot,MemberExpr:1274(  NameExpr(plt [matplotlib.pyplot])  figure [matplotlib.pyplot.figure]) Mypy Node is a mp_nodes.MypyFile ,2025-04-09 06:17:10.325843
Yes,seaborn,seaborn.axisgrid,_add_axis_labels,1304,8,Yes,1,2,,self._add_axis_labels.(),"NamedType(name='PairGrid', qname='seaborn.axisgrid.PairGrid')",,2025-04-09 06:17:10.325843
Yes,seaborn,seaborn.axisgrid,categorical_order,1321,36,No,0,2,Found no referenced functions,categorical_order.(),seaborn._oldcore.categorical_order,,2025-04-09 06:17:10.326823
Yes,seaborn,seaborn.axisgrid,_get_palette,1333,23,No,1,1,Found same amount of functions,self._get_palette.(),"NamedType(name='PairGrid', qname='seaborn.axisgrid.PairGrid')",,2025-04-09 06:17:10.326823
Yes,seaborn,seaborn.axisgrid,despine,1357,12,Yes,1,2,,utils.despine.(),seaborn.utils,,2025-04-09 06:17:10.327842
Yes,seaborn,seaborn.axisgrid,tight_layout,1358,8,No,1,1,Found same amount of functions,self.tight_layout.(),"NamedType(name='PairGrid', qname='seaborn.axisgrid.PairGrid')",,2025-04-09 06:17:10.328821
Yes,seaborn,seaborn.axisgrid,get_var,1735,17,No,1,1,Found same amount of functions,get_var.(),seaborn.axisgrid.JointGrid.get_var,,2025-04-09 06:17:10.335833
Yes,seaborn,seaborn.axisgrid,get_var,1736,17,No,1,1,Found same amount of functions,get_var.(),seaborn.axisgrid.JointGrid.get_var,,2025-04-09 06:17:10.336832
Yes,seaborn,seaborn.axisgrid,get_var,1737,19,No,1,1,Found same amount of functions,get_var.(),seaborn.axisgrid.JointGrid.get_var,,2025-04-09 06:17:10.337831
Yes,seaborn,seaborn.axisgrid,despine,1753,8,Yes,1,2,,utils.despine.(),seaborn.utils,,2025-04-09 06:17:10.338830
Yes,seaborn,seaborn.axisgrid,despine,1755,12,Yes,1,2,,utils.despine.(),seaborn.utils,,2025-04-09 06:17:10.338830
Yes,seaborn,seaborn.axisgrid,despine,1756,12,Yes,1,2,,utils.despine.(),seaborn.utils,,2025-04-09 06:17:10.339811
Yes,seaborn,seaborn.axisgrid,tight_layout,1760,8,No,0,1,Found no referenced functions,f.tight_layout.(),f,MemberExpr:1760(  NameExpr(f [l])  tight_layout) Type is Any No missing import name ,2025-04-09 06:17:10.340810
Yes,seaborn,seaborn.categorical,__init__,66,8,Yes,3,7,,super.().__init__.(),seaborn.categorical._CategoricalPlotterNew,,2025-04-09 06:17:10.343821
Yes,seaborn,seaborn.categorical,set,79,29,Yes,0,2,,set.(),builtins.set,,2025-04-09 06:17:10.344805
Yes,seaborn,seaborn.categorical,infer_orient,96,22,No,1,1,Found same amount of functions,infer_orient.(),seaborn._oldcore.infer_orient,,2025-04-09 06:17:10.345804
Yes,seaborn,seaborn.categorical,categorical_order,118,21,Yes,1,2,,categorical_order.(),seaborn._oldcore.categorical_order,,2025-04-09 06:17:10.345804
Yes,seaborn,seaborn.categorical,establish_variables,785,8,Yes,1,2,,self.establish_variables.(),"NamedType(name='_BoxPlotter', qname='seaborn.categorical._BoxPlotter')",,2025-04-09 06:17:10.354795
Yes,seaborn,seaborn.categorical,establish_colors,786,8,No,1,1,Found same amount of functions,self.establish_colors.(),"NamedType(name='_BoxPlotter', qname='seaborn.categorical._BoxPlotter')",,2025-04-09 06:17:10.355794
Yes,seaborn,seaborn.categorical,establish_variables,901,8,Yes,1,2,,self.establish_variables.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-04-09 06:17:10.356793
Yes,seaborn,seaborn.categorical,establish_colors,902,8,No,1,1,Found same amount of functions,self.establish_colors.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-04-09 06:17:10.356793
Yes,seaborn,seaborn.categorical,estimate_densities,903,8,No,1,1,Found same amount of functions,self.estimate_densities.(),"NamedType(name='_ViolinPlotter', qname='seaborn.categorical._ViolinPlotter')",,2025-04-09 06:17:10.356793
Yes,seaborn,seaborn.categorical,establish_variables,1530,8,Yes,1,2,,self.establish_variables.(),"NamedType(name='_BarPlotter', qname='seaborn.categorical._BarPlotter')",,2025-04-09 06:17:10.358791
Yes,seaborn,seaborn.categorical,establish_colors,1532,8,No,1,1,Found same amount of functions,self.establish_colors.(),"NamedType(name='_BarPlotter', qname='seaborn.categorical._BarPlotter')",,2025-04-09 06:17:10.358791
Yes,seaborn,seaborn.categorical,estimate_statistic,1533,8,No,1,1,Found same amount of functions,self.estimate_statistic.(),"NamedType(name='_BarPlotter', qname='seaborn.categorical._BarPlotter')",,2025-04-09 06:17:10.359790
Yes,seaborn,seaborn.categorical,establish_variables,1601,8,Yes,1,2,,self.establish_variables.(),"NamedType(name='_PointPlotter', qname='seaborn.categorical._PointPlotter')",,2025-04-09 06:17:10.359790
Yes,seaborn,seaborn.categorical,establish_colors,1603,8,No,1,1,Found same amount of functions,self.establish_colors.(),"NamedType(name='_PointPlotter', qname='seaborn.categorical._PointPlotter')",,2025-04-09 06:17:10.360789
Yes,seaborn,seaborn.categorical,estimate_statistic,1604,8,No,1,1,Found same amount of functions,self.estimate_statistic.(),"NamedType(name='_PointPlotter', qname='seaborn.categorical._PointPlotter')",,2025-04-09 06:17:10.360789
Yes,seaborn,seaborn.categorical,color_palette,1608,27,No,1,1,Found same amount of functions,color_palette.(),seaborn.palettes.color_palette,,2025-04-09 06:17:10.360789
Yes,seaborn,seaborn.categorical,establish_variables,1785,8,Yes,1,2,,self.establish_variables.(),"NamedType(name='_LVPlotter', qname='seaborn.categorical._LVPlotter')",,2025-04-09 06:17:10.362787
Yes,seaborn,seaborn.categorical,establish_colors,1786,8,No,1,1,Found same amount of functions,self.establish_colors.(),"NamedType(name='_LVPlotter', qname='seaborn.categorical._LVPlotter')",,2025-04-09 06:17:10.363786
Yes,seaborn,seaborn.distributions,__init__,113,8,No,0,7,Found no referenced functions,super.().__init__.(),seaborn.distributions._DistributionPlotter,,2025-04-09 06:17:10.365784
Yes,seaborn,seaborn.matrix,_matrix_mask,113,15,No,1,1,Found same amount of functions,_matrix_mask.(),seaborn.matrix._matrix_mask,,2025-04-09 06:17:10.369780
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,121,26,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,,2025-04-09 06:17:10.370779
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,123,26,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,,2025-04-09 06:17:10.370779
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,130,26,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,,2025-04-09 06:17:10.371778
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,132,26,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,,2025-04-09 06:17:10.371778
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,141,31,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,,2025-04-09 06:17:10.372777
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,151,31,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,,2025-04-09 06:17:10.373778
