Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
Yes,seaborn,seaborn.axisgrid,tight_layout,1760,8,No,0,1,Found no referenced functions,f.tight_layout.(),f,2025-01-15 01:26:24.843994
Yes,seaborn,seaborn.categorical,__init__,66,8,Yes,3,7,,super.().__init__.(),seaborn.categorical._CategoricalPlotterNew,2025-01-15 01:26:24.845988
Yes,seaborn,seaborn.categorical,set,79,29,Yes,0,2,,set.(),builtins.set,2025-01-15 01:26:24.845988
Yes,seaborn,seaborn.categorical,infer_orient,96,22,No,1,1,Found same amount of functions,infer_orient.(),seaborn._oldcore.infer_orient,2025-01-15 01:26:24.846986
Yes,seaborn,seaborn.categorical,categorical_order,118,21,Yes,1,2,,categorical_order.(),seaborn._oldcore.categorical_order,2025-01-15 01:26:24.846986
Yes,seaborn,seaborn.categorical,establish_variables,785,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._BoxPlotter,2025-01-15 01:26:24.852969
Yes,seaborn,seaborn.categorical,establish_colors,786,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._BoxPlotter,2025-01-15 01:26:24.852969
Yes,seaborn,seaborn.categorical,establish_variables,901,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._ViolinPlotter,2025-01-15 01:26:24.854964
Yes,seaborn,seaborn.categorical,establish_colors,902,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._ViolinPlotter,2025-01-15 01:26:24.854964
Yes,seaborn,seaborn.categorical,estimate_densities,903,8,No,1,1,Found same amount of functions,self.estimate_densities.(),seaborn.categorical._ViolinPlotter,2025-01-15 01:26:24.854964
Yes,seaborn,seaborn.categorical,establish_variables,1530,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._BarPlotter,2025-01-15 01:26:24.855961
Yes,seaborn,seaborn.categorical,establish_colors,1532,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._BarPlotter,2025-01-15 01:26:24.856959
Yes,seaborn,seaborn.categorical,estimate_statistic,1533,8,No,1,1,Found same amount of functions,self.estimate_statistic.(),seaborn.categorical._BarPlotter,2025-01-15 01:26:24.856959
Yes,seaborn,seaborn.categorical,establish_variables,1601,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._PointPlotter,2025-01-15 01:26:24.857956
Yes,seaborn,seaborn.categorical,establish_colors,1603,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._PointPlotter,2025-01-15 01:26:24.857956
Yes,seaborn,seaborn.categorical,estimate_statistic,1604,8,No,1,1,Found same amount of functions,self.estimate_statistic.(),seaborn.categorical._PointPlotter,2025-01-15 01:26:24.857956
Yes,seaborn,seaborn.categorical,color_palette,1608,27,No,1,1,Found same amount of functions,color_palette.(),seaborn.palettes.color_palette,2025-01-15 01:26:24.858954
Yes,seaborn,seaborn.categorical,establish_variables,1785,8,Yes,1,2,,self.establish_variables.(),seaborn.categorical._LVPlotter,2025-01-15 01:26:24.859951
Yes,seaborn,seaborn.categorical,establish_colors,1786,8,No,1,1,Found same amount of functions,self.establish_colors.(),seaborn.categorical._LVPlotter,2025-01-15 01:26:24.859951
Yes,seaborn,seaborn.distributions,__init__,113,8,No,0,7,Found no referenced functions,super.().__init__.(),seaborn.distributions._DistributionPlotter,2025-01-15 01:26:24.862065
Yes,seaborn,seaborn.matrix,_matrix_mask,113,15,No,1,1,Found same amount of functions,_matrix_mask.(),seaborn.matrix._matrix_mask,2025-01-15 01:26:24.864100
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,121,26,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,2025-01-15 01:26:24.864100
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,123,26,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,2025-01-15 01:26:24.864100
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,130,26,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,2025-01-15 01:26:24.864100
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,132,26,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,2025-01-15 01:26:24.865490
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,141,31,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,2025-01-15 01:26:24.865490
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,151,31,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,2025-01-15 01:26:24.865490
Yes,seaborn,seaborn.matrix,_skip_ticks,143,44,No,1,1,Found same amount of functions,self._skip_ticks.(),seaborn.matrix._HeatMapper,2025-01-15 01:26:24.865490
Yes,seaborn,seaborn.matrix,_skip_ticks,153,44,No,1,1,Found same amount of functions,self._skip_ticks.(),seaborn.matrix._HeatMapper,2025-01-15 01:26:24.866874
Yes,seaborn,seaborn.matrix,_index_to_label,157,17,No,1,1,Found same amount of functions,_index_to_label.(),seaborn.matrix._index_to_label,2025-01-15 01:26:24.866874
Yes,seaborn,seaborn.matrix,_index_to_label,158,17,No,1,1,Found same amount of functions,_index_to_label.(),seaborn.matrix._index_to_label,2025-01-15 01:26:24.866874
Yes,seaborn,seaborn.matrix,_determine_cmap_params,163,8,No,1,1,Found same amount of functions,self._determine_cmap_params.(),seaborn.matrix._HeatMapper,2025-01-15 01:26:24.866874
Yes,seaborn,seaborn.matrix,calculate_dendrogram,498,26,No,1,1,Found same amount of functions,self.calculate_dendrogram.(),seaborn.matrix._DendrogramPlotter,2025-01-15 01:26:24.870897
Yes,seaborn,seaborn.matrix,_index_to_ticklabels,504,25,No,1,1,Found same amount of functions,_index_to_ticklabels.(),seaborn.matrix._index_to_ticklabels,2025-01-15 01:26:24.870897
Yes,seaborn,seaborn.matrix,_index_to_label,512,30,No,1,1,Found same amount of functions,_index_to_label.(),seaborn.matrix._index_to_label,2025-01-15 01:26:24.871897
Yes,seaborn,seaborn.matrix,_index_to_label,520,30,No,1,1,Found same amount of functions,_index_to_label.(),seaborn.matrix._index_to_label,2025-01-15 01:26:24.871897
Yes,seaborn,seaborn.matrix,format_data,710,22,No,1,1,Found same amount of functions,self.format_data.(),seaborn.matrix.ClusterGrid,2025-01-15 01:26:24.876131
Yes,seaborn,seaborn.matrix,_matrix_mask,713,20,No,1,1,Found same amount of functions,_matrix_mask.(),seaborn.matrix._matrix_mask,2025-01-15 01:26:24.876131
Yes,seaborn,seaborn.matrix,figure,715,23,No,0,0,Found no referenced functions,plt.figure.(),matplotlib.pyplot,2025-01-15 01:26:24.877149
Yes,seaborn,seaborn.matrix,_preprocess_colors,718,12,No,1,1,Found same amount of functions,self._preprocess_colors.(),seaborn.matrix.ClusterGrid,2025-01-15 01:26:24.877149
Yes,seaborn,seaborn.matrix,_preprocess_colors,720,12,No,1,1,Found same amount of functions,self._preprocess_colors.(),seaborn.matrix.ClusterGrid,2025-01-15 01:26:24.878298
Yes,seaborn,seaborn.matrix,dim_ratios,732,23,No,1,1,Found same amount of functions,self.dim_ratios.(),seaborn.matrix.ClusterGrid,2025-01-15 01:26:24.878298
Yes,seaborn,seaborn.matrix,dim_ratios,735,24,No,1,1,Found same amount of functions,self.dim_ratios.(),seaborn.matrix.ClusterGrid,2025-01-15 01:26:24.878298
Yes,seaborn,seaborn.regression,establish_variables,107,8,No,1,1,Found same amount of functions,self.establish_variables.(),seaborn.regression._RegressionPlotter,2025-01-15 01:26:24.926019
Yes,seaborn,seaborn.regression,dropna,112,12,No,1,1,Found same amount of functions,self.dropna.(),seaborn.regression._RegressionPlotter,2025-01-15 01:26:24.926019
Yes,seaborn,seaborn.regression,regress_out,116,21,No,1,1,Found same amount of functions,self.regress_out.(),seaborn.regression._RegressionPlotter,2025-01-15 01:26:24.927229
Yes,seaborn,seaborn.regression,regress_out,118,21,No,1,1,Found same amount of functions,self.regress_out.(),seaborn.regression._RegressionPlotter,2025-01-15 01:26:24.927229
Yes,seaborn,seaborn.regression,bin_predictor,123,33,No,1,1,Found same amount of functions,self.bin_predictor.(),seaborn.regression._RegressionPlotter,2025-01-15 01:26:24.927229
Yes,seaborn,seaborn.relational,__init__,365,8,Yes,3,7,,super.().__init__.(),seaborn.relational._LinePlotter,2025-01-15 01:26:24.932315
Yes,seaborn,seaborn.relational,square,535,27,No,0,1,Found no referenced functions,np.square.(),numpy,2025-01-15 01:26:24.933312
Yes,seaborn,seaborn.relational,__init__,538,8,Yes,3,7,,super.().__init__.(),seaborn.relational._ScatterPlotter,2025-01-15 01:26:24.934310
Yes,seaborn,seaborn._oldcore,__init__,116,8,Yes,4,30,,super.().__init__.(),seaborn._oldcore.HueMapping,2025-01-15 01:26:25.082641
Yes,seaborn,seaborn._oldcore,infer_map_type,126,23,No,1,1,Found same amount of functions,self.infer_map_type.(),seaborn._oldcore.HueMapping,2025-01-15 01:26:25.083644
Yes,seaborn,seaborn._oldcore,numeric_mapping,139,51,Yes,1,2,,self.numeric_mapping.(),seaborn._oldcore.HueMapping,2025-01-15 01:26:25.083644
