Type-Aware,Library,FunctionId,Runtime of body analysis,Date
Yes,pandas,pandas/_testing/get_op_from_name,0.001102447509765625,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/getitem,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/setitem,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/loc,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/iloc,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/at,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/iat,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/_testing/shares_memory,0.004070281982421875,2025-02-26 18:00:10.447796
Yes,pandas,pandas/util/version/InfinityType/__repr__,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/util/version/InfinityType/__hash__,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/util/version/InfinityType/__lt__,0.0,2025-02-26 18:00:10.447796
Yes,pandas,pandas/util/version/InfinityType/__le__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/InfinityType/__eq__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/InfinityType/__ne__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/InfinityType/__gt__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/InfinityType/__ge__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/InfinityType/__neg__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__repr__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__hash__,0.0009980201721191406,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__lt__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__le__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__eq__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__ne__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__gt__,0.0009999275207519531,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__ge__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/NegativeInfinityType/__neg__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/parse,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_BaseVersion/__hash__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_BaseVersion/__lt__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_BaseVersion/__le__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_BaseVersion/__eq__,0.0,2025-02-26 18:00:10.448797
Yes,pandas,pandas/util/version/_BaseVersion/__ge__,0.0,2025-02-26 18:00:10.448797
