Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
Yes,matplotlib,Yes,matplotlib.axis.set_tick_params.918.4,2378527196806929179119428,2404922350969538726558184,1775474383010010385105356,6873405604047908296235,124,1.0110972681742063,0.7464595676658685,Impure,Impure,2025-03-01 15:02:46.727694
Yes,matplotlib,No,matplotlib.axis.set_units.1738.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:46.728694
Yes,matplotlib,No,matplotlib.backend_bases.button_press_event.1885.4,5,4,4,0,1,0.8,0.8,Impure,Impure,2025-03-01 15:02:46.729693
Yes,matplotlib,No,matplotlib.backend_bases.device_pixel_ratio.2085.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:46.730693
Yes,matplotlib,No,matplotlib.backend_bases.get_canvas_width_height.673.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:46.731704
Yes,matplotlib,No,matplotlib.backend_bases.get_texmanager.677.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:46.732691
Yes,matplotlib,No,matplotlib.backend_bases.mpl_connect.2415.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:46.732691
Yes,matplotlib,No,matplotlib.backend_bases.remove_toolitem.3516.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:46.733691
Yes,matplotlib,No,matplotlib.backend_bases.single_shot.1170.4,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-03-01 15:02:46.733691
Yes,matplotlib,No,matplotlib.backend_tools._switch_on_zoom_mode.776.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:46.734691
Yes,matplotlib,No,matplotlib.backend_tools.enable.208.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:46.735691
Yes,matplotlib,No,matplotlib.backend_tools.trigger.603.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-03-01 15:02:46.735691
Yes,matplotlib,Yes,matplotlib.backends._backend_gtk.__init__.137.4,41030687521120751397071434944,41486016063916130534439630351,30627749268069105948460215299,118569406279344414591792851,142,1.0110972681742414,0.746459567666355,Impure,Impure,2025-03-01 15:02:46.771690
Yes,matplotlib,No,matplotlib.backends._backend_tk._event_mpl_coords.286.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:46.773696
Yes,matplotlib,No,matplotlib.backends._backend_tk._is_dark.754.8,5,4,3,0,2,0.8,0.6,Impure,Impure,2025-03-01 15:02:46.774705
Yes,matplotlib,No,matplotlib.backends._backend_tk._set_image_for_button.733.4,30,29,19,0,4,0.9666666666666667,0.6333333333333333,Impure,Impure,2025-03-01 15:02:46.775710
Yes,matplotlib,No,matplotlib.backends._backend_tk._timer_stop.136.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:46.776690
Yes,matplotlib,No,matplotlib.backends._backend_tk.done.1052.22,5,4,3,0,2,0.8,0.6,Impure,Impure,2025-03-01 15:02:46.778695
Yes,matplotlib,Yes,matplotlib.backends.backend_cairo.__init__.77.4,907215,947014,597560,27020,25,1.0438694245575746,0.6586751762261427,Impure,Impure,2025-03-01 15:02:46.779691
Yes,matplotlib,Yes,matplotlib.backends.backend_cairo.get_text_width_height_descent.255.4,4750,4919,3633,80,15,1.0355789473684212,0.7648421052631579,Impure,Impure,2025-03-01 15:02:46.780710
Yes,matplotlib,No,matplotlib.backends.backend_cairo.set_clip_rectangle.328.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-03-01 15:02:46.781691
Yes,matplotlib,No,matplotlib.backends.backend_cairo.set_dashes.348.4,8,7,7,0,1,0.875,0.875,Impure,Impure,2025-03-01 15:02:46.781691
Yes,matplotlib,No,matplotlib.backends.backend_gtk4._is_valid_shortcut.536.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-03-01 15:02:46.782699
Yes,matplotlib,No,matplotlib.backends.backend_gtk4.button_release_event.130.4,27,26,20,0,5,0.9629629629629629,0.7407407407407407,Impure,Impure,2025-03-01 15:02:46.782699
Yes,matplotlib,No,matplotlib.backends.backend_gtk4.scroll_event.115.4,27,26,20,0,5,0.9629629629629629,0.7407407407407407,Impure,Impure,2025-03-01 15:02:46.783691
Yes,matplotlib,No,matplotlib.backends.backend_gtk4.trigger.584.4,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-03-01 15:02:46.784691
Yes,matplotlib,Yes,matplotlib.backends.backend_macosx.draw.43.4,74527185500388737454931624,75354233664157170737121675,55631530667999093167137493,215366708927607975520814,131,1.0110972681742305,0.746459567666203,Impure,Impure,2025-03-01 15:02:46.784691
Yes,matplotlib,No,matplotlib.backends.backend_pdf._writeHeader.596.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-03-01 15:02:46.785691
