Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,#Cycles,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
No,seaborn,Yes,seaborn._compat.scale_factory.70.0,10,10,7,0,3,1.0,0.7,Impure,Impure,2025-01-17 11:28:35.092187
No,seaborn,No,seaborn._compat.set_scale_obj.108.0,1127426,1134297,816751,4012,30,1.00609441329187,0.7244386771282549,Impure,Impure,2025-01-17 11:28:35.100195
No,seaborn,No,seaborn._core.data.join.72.4,20,20,15,1,4,1.0,0.75,Impure,Impure,2025-01-17 11:28:35.101194
No,seaborn,No,seaborn._core.moves.__call__.53.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-17 11:28:35.102176
No,seaborn,No,seaborn._core.moves.widths_to_offsets.130.8,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-17 11:28:35.103176
No,seaborn,No,seaborn._core.plot.__init__.200.4,24,23,19,0,4,0.9583333333333334,0.7916666666666666,Impure,Impure,2025-01-17 11:28:35.103176
No,seaborn,No,seaborn._core.plot.__init__.875.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.104174
No,seaborn,No,seaborn._core.plot._clone.283.4,32,32,24,1,6,1.0,0.75,Impure,Impure,2025-01-17 11:28:35.105173
No,seaborn,No,seaborn._core.plot._make_legend.1593.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-17 11:28:35.106172
No,seaborn,No,seaborn._core.plot._plot_layer.1295.4,2352,2456,1747,68,14,1.0442176870748299,0.7427721088435374,Impure,Impure,2025-01-17 11:28:35.108187
No,seaborn,No,seaborn._core.plot._resolve_label.965.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-17 11:28:35.109176
No,seaborn,No,seaborn._core.plot._resolve_positionals.234.4,8,7,7,0,1,0.875,0.875,Impure,Pure,2025-01-17 11:28:35.110167
No,seaborn,No,seaborn._core.plot._setup_figure.980.4,1127374,1134244,816715,4010,29,1.0060938073789176,0.7244401591663459,Impure,Impure,2025-01-17 11:28:35.111166
No,seaborn,No,seaborn._core.plot._setup_split_generator.1471.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-17 11:28:35.111166
No,seaborn,No,seaborn._core.plot._theme_with_defaults.309.4,211,214,168,3,5,1.014218009478673,0.7962085308056872,Impure,Impure,2025-01-17 11:28:35.112165
No,seaborn,No,seaborn._core.plot._variables.330.4,3,2,2,0,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-17 11:28:35.113164
No,seaborn,No,seaborn._core.plot.add.390.4,40,40,31,1,7,1.0,0.775,Impure,Impure,2025-01-17 11:28:35.114163
No,seaborn,No,seaborn._core.plot.get_order.1310.12,9,8,7,0,2,0.8888888888888888,0.7777777777777778,Impure,Impure,2025-01-17 11:28:35.115181
No,seaborn,No,seaborn._core.plot.on.344.4,36,36,27,1,7,1.0,0.75,Impure,Impure,2025-01-17 11:28:35.115181
No,seaborn,Yes,seaborn._core.plot.save.778.4,7430137,7475509,5382749,26495,37,1.0061064822896266,0.7244481494755749,Impure,Impure,2025-01-17 11:28:35.118158
No,seaborn,No,seaborn._core.plot.scale.605.4,38,39,28,2,7,1.0263157894736843,0.7368421052631579,Impure,Impure,2025-01-17 11:28:35.118158
No,seaborn,No,seaborn._core.plot.split_generator.1485.8,1127358,1134227,816706,4011,29,1.0060930068354508,0.7244424574979731,Impure,Impure,2025-01-17 11:28:35.119158
No,seaborn,No,seaborn._core.plot.theme_context.94.0,190,191,151,1,5,1.0052631578947369,0.7947368421052632,Impure,Impure,2025-01-17 11:28:35.120157
No,seaborn,No,seaborn._core.properties._default_values.450.4,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-01-17 11:28:35.121156
No,seaborn,No,seaborn._core.properties._default_values.546.4,5,4,4,0,1,0.8,0.8,Impure,Impure,2025-01-17 11:28:35.121156
No,seaborn,No,seaborn._core.properties._get_nominal_mapping.223.4,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-01-17 11:28:35.122154
No,seaborn,No,seaborn._core.properties._get_values.378.4,35,35,28,0,3,1.0,0.8,Impure,Impure,2025-01-17 11:28:35.123154
No,seaborn,No,seaborn._core.properties._get_values.702.4,37,37,30,0,3,1.0,0.8108108108108109,Impure,Impure,2025-01-17 11:28:35.124152
No,seaborn,No,seaborn._core.properties._inverse.172.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.124152
No,seaborn,No,seaborn._core.properties._mapping.663.8,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-01-17 11:28:35.125151
No,seaborn,No,seaborn._core.properties.default_scale.64.4,4838876,4868350,3505456,17206,33,1.006091083962474,0.7244360053863749,Impure,Impure,2025-01-17 11:28:35.126151
No,seaborn,No,seaborn._core.properties.get_mapping.764.4,1,0,1,0,0,0.0,1.0,Pure,Impure,2025-01-17 11:28:35.127149
No,seaborn,No,seaborn._core.properties.get_mapping.97.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.128149
No,seaborn,No,seaborn._core.properties.identity.99.8,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.129147
No,seaborn,No,seaborn._core.properties.infer_scale.77.4,8,7,7,0,1,0.875,0.875,Impure,Impure,2025-01-17 11:28:35.130146
No,seaborn,No,seaborn._core.properties.standardize.103.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.131146
No,seaborn,Yes,seaborn._core.rules.all_numeric.114.4,1096066,1102741,794030,3897,29,1.006089961735881,0.7244363021934811,Impure,Pure,2025-01-17 11:28:35.132145
No,seaborn,Yes,seaborn._core.rules.categorical_order.139.0,957285,963115,693497,3404,28,1.0060901403448295,0.7244415195056854,Impure,Impure,2025-01-17 11:28:35.132145
No,seaborn,Yes,seaborn._core.rules.variable_type.40.0,3385041,3405659,2452244,12036,32,1.0060909158855091,0.724435538594658,Impure,Impure,2025-01-17 11:28:35.133162
No,seaborn,No,seaborn._core.scales._get_formatter.393.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-17 11:28:35.134142
No,seaborn,No,seaborn._core.scales._make_identity_transforms.1000.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.135160
No,seaborn,No,seaborn._core.scales._make_logit_transforms.1008.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.135160
No,seaborn,No,seaborn._core.scales._make_power_transforms.1079.0,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.136156
No,seaborn,No,seaborn._core.scales._setup.253.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-17 11:28:35.137139
No,seaborn,No,seaborn._core.scales.get_data_interval.931.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-17 11:28:35.138138
No,seaborn,No,seaborn._core.scales.get_scale.984.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-17 11:28:35.139137
No,seaborn,No,seaborn._core.scales.label.225.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-17 11:28:35.139137
No,seaborn,No,seaborn._core.scales.label.75.4,2,1,1,0,1,0.5,0.5,Pure,Pure,2025-01-17 11:28:35.140136
No,seaborn,No,seaborn._core.scales.label.815.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-17 11:28:35.141135
No,seaborn,No,seaborn._core.scales.na_safe_cast.174.8,11,10,8,0,2,0.9090909090909091,0.7272727272727273,Impure,Impure,2025-01-17 11:28:35.142134
No,seaborn,No,seaborn._core.scales.set_data_interval.928.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-17 11:28:35.142134
No,seaborn,No,seaborn._core.scales.set_major_formatter.943.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-17 11:28:35.143133
No,seaborn,No,seaborn._core.scales.set_minor_locator.947.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-17 11:28:35.144132
No,seaborn,Yes,seaborn._core.scales.sqrt.1070.4,2,2,1,1,1,1.0,0.5,Impure,Impure,2025-01-17 11:28:35.145131
No,seaborn,Yes,seaborn._core.scales.square.1073.4,1,1,0,1,1,1.0,0.0,Impure,Impure,2025-01-17 11:28:35.145131
No,seaborn,No,seaborn._core.scales.symexp.1061.4,6,5,4,0,2,0.8333333333333334,0.6666666666666666,Impure,Impure,2025-01-17 11:28:35.146130
No,seaborn,No,seaborn._core.subplots.__init__.32.4,15,15,10,0,3,1.0,0.6666666666666666,Impure,Impure,2025-01-17 11:28:35.147129
No,seaborn,No,seaborn._core.subplots.init_figure.142.4,7,6,6,0,1,0.8571428571428571,0.8571428571428571,Impure,Impure,2025-01-17 11:28:35.148129
No,seaborn,No,seaborn._marks.area._legend_artist.71.4,125,130,93,4,11,1.04,0.744,Impure,Impure,2025-01-17 11:28:35.149129
No,seaborn,No,seaborn._marks.area._postprocess_artist.56.4,1,0,1,0,0,0.0,1.0,Pure,Pure,2025-01-17 11:28:35.150127
No,seaborn,No,seaborn._marks.area._standardize_coordinate_parameters.162.4,2,1,1,0,1,0.5,0.5,Impure,Impure,2025-01-17 11:28:35.150127
No,seaborn,No,seaborn._marks.bar.get_dimensions.232.12,335,349,248,10,13,1.0417910447761194,0.7402985074626866,Impure,Impure,2025-01-17 11:28:35.151125
No,seaborn,No,seaborn._marks.base.depend.78.4,1,0,1,0,0,0.0,1.0,Impure,Impure,2025-01-17 11:28:35.152136
No,seaborn,No,seaborn._marks.base.document_properties.297.0,4,3,3,0,1,0.75,0.75,Impure,Impure,2025-01-17 11:28:35.153124
