Library,Runtime [seconds],Expressions,Type coverage,Expr with 3 type sources,Expr with 2 type sources,Expr with 1 type source,Expr with 0 type sources,Conflicted Types,Expressions with both type hint and docstring,Expressions with type hint,Expressions with comment type info,Expressions with inferred type info,mp_nodes.StrExpr,mp_nodes.NameExpr,mp_nodes.CallExpr,mp_nodes.MemberExpr,mp_nodes.IntExpr,mp_nodes.DictExpr,mp_nodes.IndexExpr,mp_nodes.OpExpr,mp_nodes.ComparisonExpr,mp_nodes.UnaryExpr,mp_nodes.ListExp,mp_nodes.TupleExpr,mp_nodes.ConditionalExpr,,mp_nodes.YieldFromExpr,mp_nodes.GeneratorExpr,mp_nodes.SliceExpr,mp_nodes.SetExpr,mp_nodes.StarExp,mp_nodes.BytesExpr,mp_nodes.SuperExpr,mp_nodes.LambdaExpr,mp_nodes.FloatExpr,mp_nodes.EllipsisExpr,mp_nodes.AssignmentExpr,mp_nodes.NamedTupleExpr,mp_nodes.ComplexExpr,mp_nodes.AwaitExpr,Date
matplotlib,176.87222480773926,325938,0.5361909320177457,0,423,174757,150758,415,0,7052,0,168551,22559,117923,44780,53274,27034,1143,7482,9354,8262,3624,8470,9943,542,768,6,830,802,51,306,314,451,108,7817,70,1,1,22,1,2025-02-10 23:51:28.411469
matplotlib,175.0807740688324,325938,0.5361909320177457,0,423,174757,150758,415,0,7052,0,168551,22559,117923,44780,53274,27034,1143,7482,9354,8262,3624,8470,9943,542,768,6,830,802,51,306,314,451,108,7817,70,1,1,22,1,2025-02-11 08:39:19.430530
Yes,matplotlib,126.16706490516663,193198,0.5788672760587583,0,420,111828,80950,412,0,6977,0,105691,12661,82062,24417,32923,8375,612,4991,6781,5673,1878,2908,5151,505,505,6,544,586,38,203,225,436,71,1588,53,1,1,3,1,2025-03-01 14:50:30.371265
Yes,matplotlib,128.69518780708313,193198,0.5788672760587583,0,420,111828,80950,412,0,6977,0,105691,12661,82062,24417,32923,8375,612,4991,6781,5673,1878,2908,5151,505,505,6,544,586,38,203,225,436,71,1588,53,1,1,3,1,2025-03-01 15:16:52.497208
No,matplotlib,128.37957072257996,193198,0.5788672760587583,0,420,111828,80950,412,0,6977,0,105691,12661,82062,24417,32923,8375,612,4991,6781,5673,1878,2908,5151,505,505,6,544,586,38,203,225,436,71,1588,53,1,1,3,1,2025-03-01 16:10:57.727338
Yes,matplotlib,129.1740231513977,193198,0.5788672760587583,0,420,111828,80950,412,0,6977,0,105691,12661,82062,24417,32923,8375,612,4991,6781,5673,1878,2908,5151,505,505,6,544,586,38,203,225,436,71,1588,53,1,1,3,1,2025-03-01 16:40:08.942324
Yes,matplotlib,131.03193473815918,193198,0.5790846696135571,0,420,111870,80908,412,0,6977,0,105733,12661,82062,24417,32923,8375,612,4991,6781,5673,1878,2908,5151,505,505,6,544,586,38,203,225,436,71,1588,53,1,1,3,1,2025-03-01 20:12:23.357072
Yes,matplotlib,148.4519064426422,193198,0.5790846696135571,0,420,111870,80908,412,0,6977,0,105733,12661,82062,24417,32923,8375,612,4991,6781,5673,1878,2908,5151,505,505,6,544,586,38,203,225,436,71,1588,53,1,1,3,1,2025-03-03 00:17:20.654344
