Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
Yes,matplotlib,matplotlib,884,15,NameExpr,bool,bool,Any,2025-04-08 15:35:15.315828
Yes,matplotlib,matplotlib,927,63,NameExpr,bool,bool,Any,2025-04-08 15:35:15.359773
Yes,matplotlib,matplotlib,929,7,UnaryExpr,bool,bool,Any,2025-04-08 15:35:15.360769
Yes,matplotlib,matplotlib,929,11,NameExpr,bool,bool,Any,2025-04-08 15:35:15.360769
Yes,matplotlib,matplotlib,1118,40,NameExpr,bool,bool,Any,2025-04-08 15:35:15.404842
Yes,matplotlib,matplotlib,1172,20,NameExpr,None,"UnionType[str, UnionType[like, path]]",Any,2025-04-08 15:35:15.432739
Yes,matplotlib,matplotlib,1171,11,NameExpr,None,"UnionType[str, UnionType[like, path]]",Any,2025-04-08 15:35:15.432739
Yes,matplotlib,matplotlib,1174,28,NameExpr,None,dict,Any,2025-04-08 15:35:15.438522
Yes,matplotlib,matplotlib,1173,11,NameExpr,None,dict,Any,2025-04-08 15:35:15.438522
Yes,matplotlib,matplotlib,1239,19,NameExpr,bool,bool,Any,2025-04-08 15:35:15.482048
Yes,matplotlib,matplotlib,1414,53,NameExpr,None,str,Any,2025-04-08 15:35:15.560608
Yes,matplotlib,matplotlib,1436,35,OpExpr,None,,OpExpr,2025-04-08 15:35:15.576043
Yes,matplotlib,matplotlib,1439,11,NameExpr,None,str,Any,2025-04-08 15:35:15.577042
Yes,matplotlib,matplotlib,1439,34,NameExpr,None,str,Any,2025-04-08 15:35:15.578041
Yes,matplotlib,matplotlib,1441,16,NameExpr,None,str,Any,2025-04-08 15:35:15.579041
Yes,matplotlib,matplotlib._api,123,7,UnaryExpr,,dict,"Dict[str, Any]",2025-04-08 15:35:15.639962
Yes,matplotlib,matplotlib._api,123,11,NameExpr,,dict,"Dict[str, Any]",2025-04-08 15:35:15.640962
Yes,matplotlib,matplotlib._api,129,15,NameExpr,bool,bool,Any,2025-04-08 15:35:15.646072
Yes,matplotlib,matplotlib._api,126,20,CallExpr,,dict,"Dict[str, Any]",2025-04-08 15:35:15.648070
Yes,matplotlib,matplotlib._api,126,20,MemberExpr,,dict,"Dict[str, Any]",2025-04-08 15:35:15.649069
Yes,matplotlib,matplotlib.cbook,193,32,NameExpr,None,List[],Any,2025-04-08 15:35:15.890407
Yes,matplotlib,matplotlib.cbook,193,58,NameExpr,None,List[],Any,2025-04-08 15:35:15.890407
Yes,matplotlib,matplotlib.cbook,338,67,NameExpr,None,str,Any,2025-04-08 15:35:15.958007
Yes,matplotlib,matplotlib.cbook,333,15,NameExpr,None,str,Any,2025-04-08 15:35:15.960001
Yes,matplotlib,matplotlib.cbook,487,34,NameExpr,str,str,Any,2025-04-08 15:35:16.051668
Yes,matplotlib,matplotlib.cbook,492,36,NameExpr,str,str,Any,2025-04-08 15:35:16.052664
Yes,matplotlib,matplotlib.cbook,494,29,NameExpr,str,str,Any,2025-04-08 15:35:16.053667
Yes,matplotlib,matplotlib.cbook,494,44,NameExpr,None,"UnionType[str, None]",Any,2025-04-08 15:35:16.053667
Yes,matplotlib,matplotlib.cbook,501,7,NameExpr,bool,bool,Any,2025-04-08 15:35:16.057258
Yes,matplotlib,matplotlib.cbook,769,11,NameExpr,bool,bool,Any,2025-04-08 15:35:16.154455
Yes,matplotlib,matplotlib.cbook,938,9,OpExpr,,int,OpExpr,2025-04-08 15:35:16.248354
Yes,matplotlib,matplotlib.cbook,941,21,OpExpr,,"Tuple[array, UnknownType]",OpExpr,2025-04-08 15:35:16.255493
Yes,matplotlib,matplotlib.cbook,1201,8,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.434744
Yes,matplotlib,matplotlib.cbook,1202,13,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.435743
Yes,matplotlib,matplotlib.cbook,1200,7,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.436745
Yes,matplotlib,matplotlib.cbook,1205,17,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.436745
Yes,matplotlib,matplotlib.cbook,1214,8,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.438742
Yes,matplotlib,matplotlib.cbook,1245,12,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.461089
Yes,matplotlib,matplotlib.cbook,1244,11,OpExpr,bool,"UnionType[bool, None]",OpExpr,2025-04-08 15:35:16.461089
Yes,matplotlib,matplotlib.cbook,1244,33,NameExpr,bool,"UnionType[bool, None]",Any,2025-04-08 15:35:16.462088
Yes,matplotlib,matplotlib.cbook,1254,44,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.466176
Yes,matplotlib,matplotlib.cbook,1256,25,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.467175
Yes,matplotlib,matplotlib.cbook,1257,25,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.469173
Yes,matplotlib,matplotlib.cbook,1255,23,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.471285
Yes,matplotlib,matplotlib.cbook,1253,23,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.472284
Yes,matplotlib,matplotlib.cbook,1253,48,NameExpr,float,"UnionType[float, Tuple[float, float]]",Any,2025-04-08 15:35:16.473285
Yes,matplotlib,matplotlib.cbook,1206,43,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.496013
Yes,matplotlib,matplotlib.cbook,1478,8,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.600376
Yes,matplotlib,matplotlib.cbook,1478,32,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.601544
Yes,matplotlib,matplotlib.cbook,1481,8,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.601544
Yes,matplotlib,matplotlib.cbook,1477,7,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.602547
Yes,matplotlib,matplotlib.cbook,1477,37,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.602547
Yes,matplotlib,matplotlib.cbook,1484,21,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.603543
Yes,matplotlib,matplotlib.cbook,1499,47,NameExpr,int,int,Any,2025-04-08 15:35:16.610663
Yes,matplotlib,matplotlib.cbook,1489,25,NameExpr,None,"UnionType[like, array]",Any,2025-04-08 15:35:16.620818
Yes,matplotlib,matplotlib.cbook,1620,41,OpExpr,,array,OpExpr,2025-04-08 15:35:16.669955
Yes,matplotlib,matplotlib.cbook,1942,23,OpExpr,,int,OpExpr,2025-04-08 15:35:16.824313
Yes,matplotlib,matplotlib.cbook,1943,24,OpExpr,,int,OpExpr,2025-04-08 15:35:16.825312
Yes,matplotlib,matplotlib.cbook,1972,11,OpExpr,,int,OpExpr,2025-04-08 15:35:16.858446
Yes,matplotlib,matplotlib.cbook,1972,12,OpExpr,,"Tuple[ndarray, UnknownType]",OpExpr,2025-04-08 15:35:16.859445
Yes,matplotlib,matplotlib.cbook,1973,11,OpExpr,,int,OpExpr,2025-04-08 15:35:16.859445
Yes,matplotlib,matplotlib.cbook,1973,12,OpExpr,,"Tuple[ndarray, UnknownType]",OpExpr,2025-04-08 15:35:16.860443
Yes,matplotlib,matplotlib.cbook,1996,32,OpExpr,,int,OpExpr,2025-04-08 15:35:16.871705
Yes,matplotlib,matplotlib.projections,110,25,OpExpr,None,,OpExpr,2025-04-08 15:35:17.006448
Yes,matplotlib,matplotlib.testing,73,9,StarExp,,str,Tuple[Any],2025-04-08 15:35:17.059937
Yes,matplotlib,matplotlib.testing,73,10,NameExpr,,str,Tuple[Any],2025-04-08 15:35:17.059937
Yes,matplotlib,matplotlib.testing,74,56,OpExpr,None,"Dict[str, str]",OpExpr,2025-04-08 15:35:17.060935
Yes,matplotlib,matplotlib.testing,74,56,NameExpr,None,"Dict[str, str]",Any,2025-04-08 15:35:17.061934
Yes,matplotlib,matplotlib.animation,129,18,IndexExpr,,str,MovieWriterRegistry,2025-04-08 15:35:17.145895
Yes,matplotlib,matplotlib.animation,175,24,ConditionalExpr,None,,ConditionalExpr,2025-04-08 15:35:17.155058
Yes,matplotlib,matplotlib.animation,201,12,NameExpr,None,float,Any,2025-04-08 15:35:17.188166
Yes,matplotlib,matplotlib.animation,200,11,NameExpr,None,float,Any,2025-04-08 15:35:17.188166
Yes,matplotlib,matplotlib.animation,202,19,NameExpr,None,float,Any,2025-04-08 15:35:17.189321
Yes,matplotlib,matplotlib.animation,296,29,NameExpr,int,int,Any,2025-04-08 15:35:17.256430
Yes,matplotlib,matplotlib.animation,296,43,NameExpr,None,"Dict[str, str]",Any,2025-04-08 15:35:17.257427
Yes,matplotlib,matplotlib.animation,296,59,NameExpr,None,"UnionType[str, None]",Any,2025-04-08 15:35:17.257730
Yes,matplotlib,matplotlib.animation,297,33,NameExpr,None,int,Any,2025-04-08 15:35:17.257730
Yes,matplotlib,matplotlib.animation,415,12,NameExpr,None,float,Any,2025-04-08 15:35:17.349788
Yes,matplotlib,matplotlib.animation,414,11,NameExpr,None,float,Any,2025-04-08 15:35:17.349788
Yes,matplotlib,matplotlib.animation,416,19,NameExpr,None,float,Any,2025-04-08 15:35:17.350803
Yes,matplotlib,matplotlib.animation,424,31,NameExpr,None,str,Any,2025-04-08 15:35:17.351937
Yes,matplotlib,matplotlib.animation,419,11,NameExpr,None,str,Any,2025-04-08 15:35:17.352954
Yes,matplotlib,matplotlib.animation,754,27,OpExpr,None,,OpExpr,2025-04-08 15:35:17.444277
Yes,matplotlib,matplotlib.animation,862,21,NameExpr,bool,bool,Any,2025-04-08 15:35:17.515603
Yes,matplotlib,matplotlib.animation,869,28,NameExpr,None,object,Any,2025-04-08 15:35:17.517603
Yes,matplotlib,matplotlib.animation,997,45,NameExpr,None,List[],Any,2025-04-08 15:35:17.697445
Yes,matplotlib,matplotlib.animation,996,11,NameExpr,None,List[],Any,2025-04-08 15:35:17.697445
Yes,matplotlib,matplotlib.animation,1008,30,NameExpr,None,int,Any,2025-04-08 15:35:17.702564
Yes,matplotlib,matplotlib.animation,1008,35,NameExpr,None,str,Any,2025-04-08 15:35:17.703561
Yes,matplotlib,matplotlib.animation,1008,42,NameExpr,None,int,Any,2025-04-08 15:35:17.703561
Yes,matplotlib,matplotlib.animation,1008,63,NameExpr,None,"Dict[str, str]",Any,2025-04-08 15:35:17.703561
Yes,matplotlib,matplotlib.animation,1017,12,NameExpr,None,dict,Any,2025-04-08 15:35:17.704560
Yes,matplotlib,matplotlib.animation,1020,12,NameExpr,None,dict,Any,2025-04-08 15:35:17.704560
Yes,matplotlib,matplotlib.animation,1020,34,NameExpr,None,dict,Any,2025-04-08 15:35:17.706559
Yes,matplotlib,matplotlib.animation,1016,11,NameExpr,None,dict,Any,2025-04-08 15:35:17.706559
Yes,matplotlib,matplotlib.animation,1024,12,NameExpr,None,int,Any,2025-04-08 15:35:17.707558
Yes,matplotlib,matplotlib.animation,1022,11,NameExpr,None,int,Any,2025-04-08 15:35:17.708557
Yes,matplotlib,matplotlib.animation,1028,12,NameExpr,None,float,Any,2025-04-08 15:35:17.709555
Yes,matplotlib,matplotlib.animation,1027,11,NameExpr,None,float,Any,2025-04-08 15:35:17.710554
Yes,matplotlib,matplotlib.animation,1030,12,NameExpr,None,float,Any,2025-04-08 15:35:17.713679
Yes,matplotlib,matplotlib.animation,1029,11,NameExpr,None,float,Any,2025-04-08 15:35:17.714678
Yes,matplotlib,matplotlib.animation,1034,37,NameExpr,None,str,Any,2025-04-08 15:35:17.715677
Yes,matplotlib,matplotlib.animation,1033,11,NameExpr,None,str,Any,2025-04-08 15:35:17.715677
Yes,matplotlib,matplotlib.animation,1036,39,NameExpr,None,int,Any,2025-04-08 15:35:17.716676
Yes,matplotlib,matplotlib.animation,1035,11,NameExpr,None,int,Any,2025-04-08 15:35:17.717675
Yes,matplotlib,matplotlib.animation,1040,40,NameExpr,None,"Dict[str, str]",Any,2025-04-08 15:35:17.718800
Yes,matplotlib,matplotlib.animation,1039,11,NameExpr,None,"Dict[str, str]",Any,2025-04-08 15:35:17.719801
Yes,matplotlib,matplotlib.animation,1046,29,IndexExpr,None,,MovieWriterRegistry,2025-04-08 15:35:17.719801
Yes,matplotlib,matplotlib.animation,1051,32,NameExpr,None,int,Any,2025-04-08 15:35:17.721798
Yes,matplotlib,matplotlib.animation,1058,12,CallExpr,None,dict,Any,2025-04-08 15:35:17.725007
Yes,matplotlib,matplotlib.animation,1058,12,MemberExpr,None,dict,Any,2025-04-08 15:35:17.726005
Yes,matplotlib,matplotlib.animation,1054,28,NameExpr,None,dict,Any,2025-04-08 15:35:17.727005
Yes,matplotlib,matplotlib.animation,1071,20,CallExpr,None,dict,Any,2025-04-08 15:35:17.730124
Yes,matplotlib,matplotlib.animation,1071,20,MemberExpr,None,dict,Any,2025-04-08 15:35:17.730124
Yes,matplotlib,matplotlib.animation,1080,8,IndexExpr,None,dict,Any,2025-04-08 15:35:17.741606
Yes,matplotlib,matplotlib.animation,1080,8,NameExpr,None,dict,Any,2025-04-08 15:35:17.742605
Yes,matplotlib,matplotlib.animation,1081,8,IndexExpr,None,dict,Any,2025-04-08 15:35:17.743605
Yes,matplotlib,matplotlib.animation,1081,8,NameExpr,None,dict,Any,2025-04-08 15:35:17.744711
Yes,matplotlib,matplotlib.animation,1105,24,CallExpr,None,function,Any,2025-04-08 15:35:17.750846
Yes,matplotlib,matplotlib.animation,1105,24,NameExpr,None,function,Any,2025-04-08 15:35:17.751845
Yes,matplotlib,matplotlib.animation,1104,23,NameExpr,None,function,Any,2025-04-08 15:35:17.752843
Yes,matplotlib,matplotlib.animation,1107,36,NameExpr,None,dict,Any,2025-04-08 15:35:17.754951
Yes,matplotlib,matplotlib.animation,1086,48,NameExpr,None,float,Any,2025-04-08 15:35:17.761061
Yes,matplotlib,matplotlib.animation,1273,16,NameExpr,None,float,Any,2025-04-08 15:35:17.812883
Yes,matplotlib,matplotlib.animation,1272,15,NameExpr,None,float,Any,2025-04-08 15:35:17.813882
Yes,matplotlib,matplotlib.animation,1276,12,NameExpr,None,float,Any,2025-04-08 15:35:17.813882
Yes,matplotlib,matplotlib.animation,1298,41,NameExpr,None,float,Any,2025-04-08 15:35:17.824134
Yes,matplotlib,matplotlib.animation,1293,26,NameExpr,None,float,Any,2025-04-08 15:35:17.826264
Yes,matplotlib,matplotlib.animation,1336,12,NameExpr,None,int,Any,2025-04-08 15:35:17.855877
Yes,matplotlib,matplotlib.animation,1334,11,NameExpr,None,int,Any,2025-04-08 15:35:17.857094
Yes,matplotlib,matplotlib.animation,1341,12,NameExpr,None,str,Any,2025-04-08 15:35:17.857094
Yes,matplotlib,matplotlib.animation,1340,11,NameExpr,None,str,Any,2025-04-08 15:35:17.858094
Yes,matplotlib,matplotlib.animation,1349,40,NameExpr,None,int,Any,2025-04-08 15:35:17.859105
Yes,matplotlib,matplotlib.animation,1350,49,NameExpr,bool,bool,Any,2025-04-08 15:35:17.860091
Yes,matplotlib,matplotlib.animation,1351,49,NameExpr,None,str,Any,2025-04-08 15:35:17.860091
Yes,matplotlib,matplotlib.animation,1408,25,NameExpr,int,int,Any,2025-04-08 15:35:17.907751
Yes,matplotlib,matplotlib.animation,1410,29,ConditionalExpr,int,int,ConditionalExpr,2025-04-08 15:35:17.908917
Yes,matplotlib,matplotlib.animation,1410,45,NameExpr,int,int,Any,2025-04-08 15:35:17.908917
Yes,matplotlib,matplotlib.animation,1410,29,NameExpr,int,int,Any,2025-04-08 15:35:17.908917
Yes,matplotlib,matplotlib.animation,1411,23,NameExpr,bool,bool,Any,2025-04-08 15:35:17.909918
Yes,matplotlib,matplotlib.animation,1634,25,NameExpr,None,"UnionType[Tuple[], None]",Any,2025-04-08 15:35:18.080742
Yes,matplotlib,matplotlib.animation,1633,11,NameExpr,None,"UnionType[Tuple[], None]",Any,2025-04-08 15:35:18.081284
Yes,matplotlib,matplotlib.animation,1638,26,NameExpr,None,callable,Any,2025-04-08 15:35:18.081801
Yes,matplotlib,matplotlib.animation,1643,27,NameExpr,None,int,Any,2025-04-08 15:35:18.082303
Yes,matplotlib,matplotlib.animation,1666,24,NameExpr,None,int,Any,2025-04-08 15:35:18.089617
Yes,matplotlib,matplotlib.animation,1664,19,NameExpr,None,int,Any,2025-04-08 15:35:18.091615
Yes,matplotlib,matplotlib.animation,1675,20,NameExpr,None,int,Any,2025-04-08 15:35:18.095737
Yes,matplotlib,matplotlib.animation,1673,15,NameExpr,None,int,Any,2025-04-08 15:35:18.095737
Yes,matplotlib,matplotlib.animation,1687,12,NameExpr,bool,bool,Any,2025-04-08 15:35:18.100775
Yes,matplotlib,matplotlib.animation,1678,11,OpExpr,bool,bool,OpExpr,2025-04-08 15:35:18.100775
Yes,matplotlib,matplotlib.animation,1678,40,NameExpr,bool,bool,Any,2025-04-08 15:35:18.101774
Yes,matplotlib,matplotlib.animation,1689,33,NameExpr,bool,bool,Any,2025-04-08 15:35:18.101774
Yes,matplotlib,matplotlib.artist,716,28,NameExpr,None,float,Any,2025-04-08 15:35:18.357238
Yes,matplotlib,matplotlib.artist,716,35,OpExpr,None,float,OpExpr,2025-04-08 15:35:18.358225
Yes,matplotlib,matplotlib.artist,716,35,NameExpr,None,float,Any,2025-04-08 15:35:18.358225
Yes,matplotlib,matplotlib.artist,716,52,OpExpr,None,float,OpExpr,2025-04-08 15:35:18.359228
Yes,matplotlib,matplotlib.artist,716,52,NameExpr,None,float,Any,2025-04-08 15:35:18.359228
Yes,matplotlib,matplotlib.artist,713,11,NameExpr,None,float,Any,2025-04-08 15:35:18.359228
Yes,matplotlib,matplotlib.artist,1284,11,NameExpr,bool,bool,Any,2025-04-08 15:35:18.645071
Yes,matplotlib,matplotlib.artist,1612,18,OpExpr,int,,OpExpr,2025-04-08 15:35:18.773094
Yes,matplotlib,matplotlib.artist,1636,18,OpExpr,int,,OpExpr,2025-04-08 15:35:18.782085
Yes,matplotlib,matplotlib.artist,1746,7,NameExpr,None,"UnionType[str, None]",Any,2025-04-08 15:35:18.872576
Yes,matplotlib,matplotlib.artist,1751,24,OpExpr,None,"UnionType[str, None]",OpExpr,2025-04-08 15:35:18.873577
Yes,matplotlib,matplotlib.artist,1751,33,NameExpr,None,"UnionType[str, None]",Any,2025-04-08 15:35:18.873577
Yes,matplotlib,matplotlib.artist,1828,58,NameExpr,None,"UnionType[like, file]",Any,2025-04-08 15:35:18.969660
Yes,matplotlib,matplotlib.artist,1830,57,NameExpr,None,"UnionType[like, file]",Any,2025-04-08 15:35:18.971784
Yes,matplotlib,matplotlib.axis,92,17,OpExpr,bool,,OpExpr,2025-04-08 15:35:19.006010
Yes,matplotlib,matplotlib.axis,89,15,OpExpr,bool,,OpExpr,2025-04-08 15:35:19.008009
Yes,matplotlib,matplotlib.axis,105,22,ConditionalExpr,bool,,ConditionalExpr,2025-04-08 15:35:19.012004
Yes,matplotlib,matplotlib.axis,680,26,NameExpr,int,float,Any,2025-04-08 15:35:19.305243
Yes,matplotlib,matplotlib.axis,1010,53,NameExpr,str,"Tuple[major, minor]",Any,2025-04-08 15:35:19.506841
Yes,matplotlib,matplotlib.axis,1011,11,NameExpr,str,"Tuple[major, minor]",Any,2025-04-08 15:35:19.507863
Yes,matplotlib,matplotlib.axis,1224,11,NameExpr,bool,bool,Any,2025-04-08 15:35:19.612443
Yes,matplotlib,matplotlib.axis,1453,69,NameExpr,None,"Tuple[None, Tuple[minor, major, both]]",Any,2025-04-08 15:35:19.743392
Yes,matplotlib,matplotlib.axis,1450,17,NameExpr,None,"Tuple[None, Tuple[minor, major, both]]",Any,2025-04-08 15:35:19.743392
Yes,matplotlib,matplotlib.axis,1448,17,NameExpr,None,"Tuple[None, Tuple[minor, major, both]]",Any,2025-04-08 15:35:19.744374
Yes,matplotlib,matplotlib.axis,1446,15,NameExpr,None,"Tuple[None, Tuple[minor, major, both]]",Any,2025-04-08 15:35:19.744374
Yes,matplotlib,matplotlib.axis,1445,11,NameExpr,None,"Tuple[None, Tuple[minor, major, both]]",Any,2025-04-08 15:35:19.745384
Yes,matplotlib,matplotlib.axis,1454,11,NameExpr,bool,bool,Any,2025-04-08 15:35:19.745384
Yes,matplotlib,matplotlib.axis,1521,43,NameExpr,bool,bool,Any,2025-04-08 15:35:19.785455
Yes,matplotlib,matplotlib.axis,1537,11,NameExpr,bool,bool,Any,2025-04-08 15:35:19.799809
Yes,matplotlib,matplotlib.axis,1606,15,SliceExpr,None,,SliceExpr,2025-04-08 15:35:19.827270
Yes,matplotlib,matplotlib.axis,1619,15,SliceExpr,None,,SliceExpr,2025-04-08 15:35:19.830367
Yes,matplotlib,matplotlib.axis,1644,16,NameExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.864911
Yes,matplotlib,matplotlib.axis,1649,16,NameExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.866048
Yes,matplotlib,matplotlib.axis,1645,17,UnaryExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.867048
Yes,matplotlib,matplotlib.axis,1645,21,NameExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.867048
Yes,matplotlib,matplotlib.axis,1643,15,NameExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.867048
Yes,matplotlib,matplotlib.axis,1650,8,NameExpr,str,"Tuple[major, minor, both]",Any,2025-04-08 15:35:19.867048
Yes,matplotlib,matplotlib.axis,1650,16,CallExpr,str,"Tuple[major, minor, both]",Any,2025-04-08 15:35:19.868047
Yes,matplotlib,matplotlib.axis,1650,16,MemberExpr,str,"Tuple[major, minor, both]",Any,2025-04-08 15:35:19.868047
Yes,matplotlib,matplotlib.axis,1651,61,NameExpr,str,"Tuple[major, minor, both]",Any,2025-04-08 15:35:19.869045
Yes,matplotlib,matplotlib.axis,1655,35,NameExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.874424
Yes,matplotlib,matplotlib.axis,1655,56,NameExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.874424
Yes,matplotlib,matplotlib.axis,1653,11,NameExpr,str,"Tuple[major, minor, both]",Any,2025-04-08 15:35:19.875424
Yes,matplotlib,matplotlib.axis,1659,35,NameExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.876547
Yes,matplotlib,matplotlib.axis,1659,56,NameExpr,None,"UnionType[bool, None]",Any,2025-04-08 15:35:19.877546
Yes,matplotlib,matplotlib.axis,1657,11,NameExpr,str,"Tuple[major, minor, both]",Any,2025-04-08 15:35:19.878545
Yes,matplotlib,matplotlib.axis,1787,30,NameExpr,None,dict,Any,2025-04-08 15:35:19.951981
Yes,matplotlib,matplotlib.axis,1786,11,NameExpr,None,dict,Any,2025-04-08 15:35:19.952981
Yes,matplotlib,matplotlib.axis,1963,47,NameExpr,bool,bool,Any,2025-04-08 15:35:20.063762
Yes,matplotlib,matplotlib.axis,1980,11,NameExpr,bool,bool,Any,2025-04-08 15:35:20.081464
Yes,matplotlib,matplotlib.axis,1991,26,NameExpr,None,dict,Any,2025-04-08 15:35:20.082463
Yes,matplotlib,matplotlib.axis,1990,11,NameExpr,None,dict,Any,2025-04-08 15:35:20.082463
Yes,matplotlib,matplotlib.axis,2074,55,NameExpr,bool,bool,Any,2025-04-08 15:35:20.159690
Yes,matplotlib,matplotlib.axis,2076,46,NameExpr,bool,bool,Any,2025-04-08 15:35:20.160689
Yes,matplotlib,matplotlib.backend_bases,132,8,NameExpr,None,str,Any,2025-04-08 15:35:20.521493
Yes,matplotlib,matplotlib.backend_bases,131,7,NameExpr,None,str,Any,2025-04-08 15:35:20.522611
Yes,matplotlib,matplotlib.backend_bases,133,4,IndexExpr,,str,"Dict[str, str]",2025-04-08 15:35:20.522611
