Type-Aware?,Library,Runtime [seconds],Classified as Pure,Classified as Impure,Amount of functions,True Positive,True Negative,False Positive,False Negative,Recall,Precision,Accuracy,Balanced Accuracy,Call References,Improved CallRef,Found more func,Found same amount,Found no referenced functions,Call refs func outside of package,Api callRef not found,Api Analyzer bug,Callrefs found by purity,Callrefs found by api,Date
Yes,safeds,197.89413809776306,118,448,566,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,168,2,311,65,0,1,0,1710,1616,2025-01-07 13:34:13.256727
No,safeds,228.456702709198,118,448,566,80,372,0,40,0.6666666666666666,1.0,0.9186991869918699,0.8333333333333333,547,0,0,0,547,0,0,0,1710,1616,2025-01-07 13:45:13.187108
