Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Date
No,Seaborn,Seaborn.categorical,establish_colors,1532,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.682544
No,Seaborn,Seaborn.categorical,estimate_statistic,1533,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.682544
No,Seaborn,Seaborn.categorical,establish_variables,1601,8,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.684541
No,Seaborn,Seaborn.categorical,establish_colors,1603,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.684541
No,Seaborn,Seaborn.categorical,estimate_statistic,1604,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.684541
No,Seaborn,Seaborn.categorical,color_palette,1608,27,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.685570
No,Seaborn,Seaborn.categorical,establish_variables,1785,8,No,0,2,Found no referenced functions,,None,2025-01-17 10:59:33.694085
No,Seaborn,Seaborn.categorical,establish_colors,1786,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.694085
No,Seaborn,Seaborn.distributions,__init__,113,8,No,0,7,Found no referenced functions,,None,2025-01-17 10:59:33.696065
No,Seaborn,Seaborn.matrix,_matrix_mask,113,15,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.698063
No,Seaborn,Seaborn.matrix,_index_to_ticklabels,121,26,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.699062
No,Seaborn,Seaborn.matrix,_index_to_ticklabels,123,26,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.699062
No,Seaborn,Seaborn.matrix,_index_to_ticklabels,130,26,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.700061
No,Seaborn,Seaborn.matrix,_index_to_ticklabels,132,26,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.700061
No,Seaborn,Seaborn.matrix,_index_to_ticklabels,141,31,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.701061
No,Seaborn,Seaborn.matrix,_index_to_ticklabels,151,31,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.701061
No,Seaborn,Seaborn.matrix,_skip_ticks,143,44,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.702059
No,Seaborn,Seaborn.matrix,_skip_ticks,153,44,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.702059
No,Seaborn,Seaborn.matrix,_index_to_label,157,17,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.703058
No,Seaborn,Seaborn.matrix,_index_to_label,158,17,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.703058
No,Seaborn,Seaborn.matrix,_determine_cmap_params,163,8,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:33.704076
No,Seaborn,Seaborn.matrix,calculate_dendrogram,498,26,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.725586
No,Seaborn,Seaborn.matrix,_index_to_ticklabels,504,25,No,0,1,Found no referenced functions,,None,2025-01-17 10:59:34.726585
