Type-Aware?,Library,#CallRefs,#CallRefsIsFromParameter,%CallRefsIsFromParameter,#CallRefsWithTypes,%CallRefsWithTypes,#CallRefsWithoutTypes,%CallRefsWithoutTypes,#CallRefsWithTypeThroughInference,%CallRefsWithTypeThroughInference,#CallRefsWithTypeThroughSignatureTypeHint,%CallRefsWithTypeThroughSignatureTypeHint,#CallRefsWithTypeThroughSignatureDocString,%CallRefsWithTypeThroughSignatureDocString,#CallRefsWithTypeOutsideOfPackage,%CallRefsWithTypeOutsideOfPackage,#CallRefsWithMissingTypeWhileFindingFunction,%CallRefsWithMissingTypeWhileFindingFunction,#DecreasedReferences,MeanDecrease,#IncreasedReferences,MeanIncrease,#CallRefsWithAllTypeSources,%CallRefsWithAllTypeSources,#CallRefsWithTypeHintAndDocstring,%CallRefsWithTypeHintAndDocstring,#CallRefsWithTypeHintAndInference,%CallRefsWithTypeHintAndInference,#CallRefsWithDocStringAndInference,%CallRefsWithDocStringAndInference,#CallRefsWithOnlyTypeHint,%CallRefsWithOnlyTypeHint,#CallRefsWithOnlyDocString,%CallRefsWithOnlyDocString,#CallRefsWithOnlyInference,%CallRefsWithOnlyInference,Date
Yes,safeds,1794,149,0.08305462653288741,144,0.9664429530201343,5,0.03355704697986577,147,0.9865771812080537,149,1.0,139,0.9328859060402684,5,0.03355704697986577,0,0.0,8,0.053691275167785234,0,0.0,137,0.9194630872483222,2,0.013422818791946308,10,0.06711409395973154,0,0.0,0,0.0,0,0.0,0,0.0,2025-04-08 14:53:50.422578
Yes,matplotlib,26258,353,0.013443521974255464,209,0.5920679886685553,144,0.40793201133144474,2,0.0056657223796034,239,0.6770538243626062,171,0.48441926345609065,125,0.35410764872521244,19,0.053824362606232294,32,0.0906515580736544,0,0.0,1,0.0028328611898017,56,0.15864022662889518,0,0.0,1,0.0028328611898017,182,0.5155807365439093,113,0.32011331444759206,0,0.0,2025-04-08 16:05:36.392425
