Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
sklearn,sklearn.neighbors.tests.test_neighbors,707,27,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.116136
sklearn,sklearn.neighbors.tests.test_neighbors,708,31,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.121138
sklearn,sklearn.neighbors.tests.test_neighbors,710,27,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.126136
sklearn,sklearn.neighbors.tests.test_neighbors,711,31,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.129137
sklearn,sklearn.neighbors.tests.test_neighbors,1078,28,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.510654
sklearn,sklearn.neighbors.tests.test_neighbors,1080,39,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.515657
sklearn,sklearn.neighbors.tests.test_neighbors,1136,15,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.591653
sklearn,sklearn.neighbors.tests.test_neighbors,1147,33,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.603653
sklearn,sklearn.neighbors.tests.test_neighbors,1186,15,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.659374
sklearn,sklearn.neighbors.tests.test_neighbors,1195,29,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.672374
sklearn,sklearn.neighbors.tests.test_neighbors,1210,15,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.693705
sklearn,sklearn.neighbors.tests.test_neighbors,1221,35,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.707067
sklearn,sklearn.neighbors.tests.test_neighbors,1222,51,OpExpr,float,,OpExpr,2025-02-09 01:23:57.711852
sklearn,sklearn.neighbors.tests.test_neighbors,1277,15,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.781795
sklearn,sklearn.neighbors.tests.test_neighbors,1284,29,SliceExpr,int,,SliceExpr,2025-02-09 01:23:57.792913
sklearn,sklearn.neighbors.tests.test_neighbors_tree,174,33,OpExpr,int,,OpExpr,2025-02-09 01:23:58.957831
sklearn,sklearn.neighbors.tests.test_neighbors_tree,175,25,OpExpr,int,,OpExpr,2025-02-09 01:23:58.963807
sklearn,sklearn.neighbors.tests.test_neighbors_tree,185,34,SliceExpr,int,,SliceExpr,2025-02-09 01:23:58.980808
sklearn,sklearn.neighbors.tests.test_neighbors_tree,186,34,SliceExpr,int,,SliceExpr,2025-02-09 01:23:58.983808
sklearn,sklearn.neighbors.tests.test_neighbors_tree,238,20,OpExpr,int,,OpExpr,2025-02-09 01:23:59.044809
sklearn,sklearn.neural_network._multilayer_perceptron,439,12,OpExpr,bool,,OpExpr,2025-02-09 01:23:59.615806
sklearn,sklearn.preprocessing._data,223,16,OpExpr,int,,OpExpr,2025-02-09 01:24:01.412049
sklearn,sklearn.preprocessing._data,1003,15,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:01.622051
sklearn,sklearn.preprocessing._data,1045,15,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:01.632050
sklearn,sklearn.preprocessing._data,1854,11,OpExpr,bool,,OpExpr,2025-02-09 01:24:01.826419
sklearn,sklearn.preprocessing._data,2012,15,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:01.870420
sklearn,sklearn.preprocessing._data,2197,15,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:01.905453
sklearn,sklearn.preprocessing._data,2764,16,OpExpr,bool,,OpExpr,2025-02-09 01:24:02.170600
sklearn,sklearn.preprocessing._data,3149,11,OpExpr,bool,,OpExpr,2025-02-09 01:24:02.236608
sklearn,sklearn.preprocessing._data,3178,19,OpExpr,bool,,OpExpr,2025-02-09 01:24:02.266601
sklearn,sklearn.preprocessing._data,3396,15,OpExpr,bool,,OpExpr,2025-02-09 01:24:02.437948
sklearn,sklearn.preprocessing._function_transformer,312,26,ConditionalExpr,None,,ConditionalExpr,2025-02-09 01:24:03.596103
