Type-Aware,Library,Module,Line,Column,Expr kind,Type Hint,DocString,Mypy inferred type,Date
No,sklearn,sklearn.tree._export,1087,37,OpExpr,int,,OpExpr,2025-03-01 06:45:11.626984
No,sklearn,sklearn.tree._export,1099,20,OpExpr,int,,OpExpr,2025-03-01 06:45:11.693526
No,sklearn,sklearn.tree._reingold_tilford,13,30,OpExpr,int,,OpExpr,2025-03-01 06:45:11.708511
No,sklearn,sklearn.tree._reingold_tilford,76,18,OpExpr,float,,OpExpr,2025-03-01 06:45:11.778055
No,sklearn,sklearn.tree._reingold_tilford,91,18,OpExpr,float,,OpExpr,2025-03-01 06:45:11.805700
No,sklearn,sklearn.tree._reingold_tilford,176,40,OpExpr,int,,OpExpr,2025-03-01 06:45:11.952044
No,sklearn,sklearn.utils.extmath,436,15,OpExpr,int,,OpExpr,2025-03-01 06:45:18.084377
No,sklearn,sklearn.utils.extmath,632,25,OpExpr,str,,OpExpr,2025-03-01 06:45:18.160155
No,sklearn,sklearn.utils.graph,156,20,OpExpr,str,,OpExpr,2025-03-01 06:45:18.745223
No,sklearn,sklearn.utils.optimize,210,7,OpExpr,bool,,OpExpr,2025-03-01 06:45:19.414062
No,sklearn,sklearn.utils.optimize,256,31,OpExpr,None,,OpExpr,2025-03-01 06:45:19.431043
No,sklearn,sklearn.utils.sparsefuncs,560,15,OpExpr,None,,OpExpr,2025-03-01 06:45:20.112550
No,sklearn,sklearn.utils.stats,69,11,ConditionalExpr,int,,ConditionalExpr,2025-03-01 06:45:20.297195
No,sklearn,sklearn.utils.validation,107,7,OpExpr,bool,,OpExpr,2025-03-01 06:45:20.343608
No,sklearn,sklearn.utils.validation,152,24,ConditionalExpr,None,,ConditionalExpr,2025-03-01 06:45:20.390559
No,sklearn,sklearn.utils.validation,154,28,ConditionalExpr,str,,ConditionalExpr,2025-03-01 06:45:20.398550
No,sklearn,sklearn.utils.validation,154,28,OpExpr,str,,OpExpr,2025-03-01 06:45:20.399549
No,sklearn,sklearn.utils.validation,156,11,OpExpr,None,,OpExpr,2025-03-01 06:45:20.406542
No,sklearn,sklearn.utils.validation,952,11,OpExpr,bool,,OpExpr,2025-03-01 06:45:20.879132
No,sklearn,sklearn.utils.validation,1187,7,OpExpr,bool,,OpExpr,2025-03-01 06:45:20.969522
No,sklearn,sklearn.utils.validation,1462,29,OpExpr,None,,OpExpr,2025-03-01 06:45:21.115481
No,sklearn,sklearn.utils._encode,66,7,OpExpr,bool,,OpExpr,2025-03-01 06:45:21.991952
No,sklearn,sklearn.utils._encode,308,19,OpExpr,bool,,OpExpr,2025-03-01 06:45:22.227030
No,sklearn,sklearn.utils._estimator_html_repr,90,22,ConditionalExpr,bool,,ConditionalExpr,2025-03-01 06:45:22.350381
No,sklearn,sklearn.utils._plotting,58,15,ConditionalExpr,None,,ConditionalExpr,2025-03-01 06:45:23.963169
No,sklearn,sklearn.utils._response,83,24,ConditionalExpr,None,,ConditionalExpr,2025-03-01 06:45:24.483650
No,sklearn,sklearn.utils._testing,622,13,ConditionalExpr,None,,ConditionalExpr,2025-03-01 06:45:25.075791
