Type-Aware?,Library,Combined Callgraph,NodeID,#Nodes,#Edges,#Leaves,Max Depth,Branching Factor,Percentage of Leaves,Purity Result,Expected Purity,Date
Yes,safeds,No,safeds.data.image.containers._image.from_file.46.4,5,4,3,2,0.8,0.6,Impure,Impure,2025-01-14 12:24:23.704596
Yes,safeds,No,safeds.data.image.containers._image.from_bytes.65.4,5,4,3,2,0.8,0.6,Impure,Impure,2025-01-14 12:24:23.707979
Yes,safeds,No,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0.0,1.0,Impure,Pure,2025-01-14 12:24:23.709107
Yes,safeds,No,safeds.data.image.containers._image.__eq__.92.4,4,3,3,1,0.75,0.75,Impure,Impure,2025-01-14 12:24:23.710430
Yes,safeds,No,safeds.data.image.containers._image.__sizeof__.112.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.711807
Yes,safeds,No,safeds.data.image.containers._image._repr_jpeg_.122.4,3,2,2,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-14 12:24:23.712916
Yes,safeds,No,safeds.data.image.containers._image._repr_png_.143.4,3,2,2,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-14 12:24:23.712916
Yes,safeds,No,safeds.data.image.containers._image._set_device.160.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.712916
Yes,safeds,No,safeds.data.image.containers._image.width.176.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-14 12:24:23.714402
Yes,safeds,No,safeds.data.image.containers._image.height.188.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-14 12:24:23.715424
Yes,safeds,No,safeds.data.image.containers._image.channel.200.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-14 12:24:23.715424
Yes,safeds,No,safeds.data.image.containers._image.device.212.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-14 12:24:23.716580
Yes,safeds,No,safeds.data.image.containers._image.to_jpeg_file.227.4,6,5,3,3,0.8333333333333334,0.5,Impure,Impure,2025-01-14 12:24:23.716580
Yes,safeds,No,safeds.data.image.containers._image.to_png_file.244.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.717580
Yes,safeds,No,safeds.data.image.containers._image.resize.263.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.717580
Yes,safeds,No,safeds.data.image.containers._image.convert_to_grayscale.279.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.718578
Yes,safeds,No,safeds.data.image.containers._image.crop.301.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.718578
Yes,safeds,No,safeds.data.image.containers._image.flip_vertically.321.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.719738
Yes,safeds,No,safeds.data.image.containers._image.flip_horizontally.334.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.720200
Yes,safeds,No,safeds.data.image.containers._image.adjust_brightness.347.4,40,39,30,6,0.975,0.75,Impure,Impure,2025-01-14 12:24:23.720200
Yes,safeds,No,safeds.data.image.containers._image.add_noise.391.4,38,37,28,6,0.9736842105263158,0.7368421052631579,Impure,Impure,2025-01-14 12:24:23.721460
Yes,safeds,No,safeds.data.image.containers._image.adjust_contrast.419.4,40,39,30,6,0.975,0.75,Impure,Impure,2025-01-14 12:24:23.722458
Yes,safeds,No,safeds.data.image.containers._image.adjust_color_balance.462.4,44,43,32,6,0.9772727272727273,0.7272727272727273,Impure,Impure,2025-01-14 12:24:23.722458
Yes,safeds,No,safeds.data.image.containers._image.blur.500.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.723455
Yes,safeds,No,safeds.data.image.containers._image.sharpen.519.4,40,39,30,6,0.975,0.75,Impure,Impure,2025-01-14 12:24:23.724452
Yes,safeds,No,safeds.data.image.containers._image.invert_colors.562.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.724452
Yes,safeds,No,safeds.data.image.containers._image.rotate_right.581.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.726392
Yes,safeds,No,safeds.data.image.containers._image.rotate_left.594.4,4,3,2,2,0.75,0.5,Impure,Impure,2025-01-14 12:24:23.727408
Yes,safeds,No,safeds.data.image.containers._image.find_edges.607.4,9,8,5,3,0.8888888888888888,0.5555555555555556,Impure,Impure,2025-01-14 12:24:23.727408
Yes,safeds,No,safeds.data.tabular.containers._column._from_pandas_series.55.4,41,40,29,4,0.975609756097561,0.7073170731707317,Impure,Impure,2025-01-14 12:24:23.728437
Yes,safeds,No,safeds.data.tabular.containers._column.__init__.89.4,40,39,28,4,0.975,0.7,Impure,Impure,2025-01-14 12:24:23.729442
Yes,safeds,No,safeds.data.tabular.containers._column.__contains__.113.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-14 12:24:23.730691
Yes,safeds,No,safeds.data.tabular.containers._column.__eq__.116.4,3,2,2,1,0.6666666666666666,0.6666666666666666,Impure,Impure,2025-01-14 12:24:23.730691
Yes,safeds,No,safeds.data.tabular.containers._column.__getitem__.155.4,49,48,34,5,0.9795918367346939,0.6938775510204082,Impure,Impure,2025-01-14 12:24:23.731697
Yes,safeds,No,safeds.data.tabular.containers._column.__iter__.194.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.731697
Yes,safeds,No,safeds.data.tabular.containers._column.__len__.215.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.732891
Yes,safeds,No,safeds.data.tabular.containers._column.__repr__.233.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.732891
Yes,safeds,No,safeds.data.tabular.containers._column.__sizeof__.251.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.733895
Yes,safeds,No,safeds.data.tabular.containers._column.__str__.261.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.733895
Yes,safeds,No,safeds.data.tabular.containers._column.name.284.4,1,0,1,0,0.0,1.0,Impure,Pure,2025-01-14 12:24:23.734970
Yes,safeds,No,safeds.data.tabular.containers._column.number_of_rows.303.4,2,1,1,1,0.5,0.5,Impure,Pure,2025-01-14 12:24:23.734970
Yes,safeds,No,safeds.data.tabular.containers._column.type.315.4,1,0,1,0,0.0,1.0,Impure,Pure,2025-01-14 12:24:23.734970
Yes,safeds,No,safeds.data.tabular.containers._column.get_unique_values.341.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.736375
Yes,safeds,No,safeds.data.tabular.containers._column.get_value.359.4,6,5,3,3,0.8333333333333334,0.5,Impure,Impure,2025-01-14 12:24:23.736375
Yes,safeds,No,safeds.data.tabular.containers._column.all.394.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.737380
Yes,safeds,No,safeds.data.tabular.containers._column.any.420.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.737380
Yes,safeds,No,safeds.data.tabular.containers._column.none.446.4,2,1,1,1,0.5,0.5,Impure,Impure,2025-01-14 12:24:23.738691
Yes,safeds,No,safeds.data.tabular.containers._column.has_missing_values.473.4,5,4,3,2,0.8,0.6,Impure,Impure,2025-01-14 12:24:23.738691
Yes,safeds,No,safeds.data.tabular.containers._column.rename.499.4,43,42,30,5,0.9767441860465116,0.6976744186046512,Impure,Impure,2025-01-14 12:24:23.739827
Yes,safeds,No,safeds.data.tabular.containers._column.transform.524.4,43,42,29,6,0.9767441860465116,0.6744186046511628,Impure,Impure,2025-01-14 12:24:23.739827
Yes,safeds,No,safeds.data.tabular.containers._column.correlation_with.552.4,16,15,11,3,0.9375,0.6875,Impure,Impure,2025-01-14 12:24:23.740985
Yes,safeds,No,safeds.data.tabular.containers._column.idness.591.4,5,4,2,3,0.8,0.4,Impure,Impure,2025-01-14 12:24:23.741991
Yes,safeds,No,safeds.data.tabular.containers._column.maximum.626.4,13,12,10,3,0.9230769230769231,0.7692307692307693,Impure,Impure,2025-01-14 12:24:23.743137
Yes,safeds,No,safeds.data.tabular.containers._column.mean.651.4,12,11,9,3,0.9166666666666666,0.75,Impure,Impure,2025-01-14 12:24:23.743137
Yes,safeds,No,safeds.data.tabular.containers._column.median.676.4,12,11,9,3,0.9166666666666666,0.75,Impure,Impure,2025-01-14 12:24:23.744137
Yes,safeds,No,safeds.data.tabular.containers._column.minimum.706.4,13,12,10,3,0.9230769230769231,0.7692307692307693,Impure,Impure,2025-01-14 12:24:23.745134
Yes,safeds,No,safeds.data.tabular.containers._column.missing_value_ratio.731.4,7,6,3,3,0.8571428571428571,0.42857142857142855,Impure,Impure,2025-01-14 12:24:23.745134
Yes,safeds,No,safeds.data.tabular.containers._column.mode.760.4,1,0,1,0,0.0,1.0,Impure,Impure,2025-01-14 12:24:23.746132
Yes,safeds,No,safeds.data.tabular.containers._column.stability.782.4,9,8,5,3,0.8888888888888888,0.5555555555555556,Impure,Impure,2025-01-14 12:24:23.746132
Yes,safeds,No,safeds.data.tabular.containers._column.standard_deviation.823.4,12,11,9,3,0.9166666666666666,0.75,Impure,Impure,2025-01-14 12:24:23.747597
Yes,safeds,No,safeds.data.tabular.containers._column.sum.852.4,13,12,10,3,0.9230769230769231,0.7692307692307693,Impure,Impure,2025-01-14 12:24:23.747597
