Type-Aware?,Library,NodeID,#Nodes,#Edges,#Leaves,Max Depth,Branching Factor,Percentage of Leaves,Date
Yes,safeds,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.949335
Yes,safeds,safeds.data.image.containers._image.Image.26.0,2,1,1,1,0.5,0.5,2025-01-11 23:17:19.949335
Yes,safeds,safeds.data.tabular.containers._column.__init__.89.4,40,39,28,4,0.975,0.7,2025-01-11 23:17:19.952487
Yes,safeds,safeds.data.tabular.containers._column.Column.33.0,41,40,28,5,0.975609756097561,0.6829268292682927,2025-01-11 23:17:19.953294
Yes,safeds,safeds.data.tabular.containers._row.__init__.109.4,48,47,33,5,0.9791666666666666,0.6875,2025-01-11 23:17:19.953294
Yes,safeds,safeds.data.tabular.containers._row.Row.20.0,49,48,33,6,0.9795918367346939,0.673469387755102,2025-01-11 23:17:19.954329
Yes,safeds,safeds.data.tabular.containers._table.__init__.385.4,53,52,36,5,0.9811320754716981,0.6792452830188679,2025-01-11 23:17:19.955339
Yes,safeds,safeds.data.tabular.containers._table.Table.47.0,54,53,36,6,0.9814814814814815,0.6666666666666666,2025-01-11 23:17:19.955339
Yes,safeds,safeds.data.tabular.containers._tagged_table.TaggedTable.18.0,772,772,516,10,1.0,0.6683937823834197,2025-01-11 23:17:19.957818
Yes,safeds,safeds.data.tabular.containers._time_series.TimeSeries.19.0,772,772,516,11,1.0,0.6683937823834197,2025-01-11 23:17:19.959904
Yes,safeds,safeds.data.tabular.transformation._discretizer.__init__.31.4,35,34,26,6,0.9714285714285714,0.7428571428571429,2025-01-11 23:17:19.960907
Yes,safeds,safeds.data.tabular.transformation._discretizer.Discretizer.16.0,36,35,26,7,0.9722222222222222,0.7222222222222222,2025-01-11 23:17:19.960907
Yes,safeds,safeds.data.tabular.transformation._imputer.__init__.50.12,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.962070
Yes,safeds,safeds.data.tabular.transformation._imputer.Constant.40.8,2,1,1,1,0.5,0.5,2025-01-11 23:17:19.962070
Yes,safeds,safeds.data.tabular.transformation._imputer.Mean.60.8,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.963895
Yes,safeds,safeds.data.tabular.transformation._imputer.Median.69.8,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.963895
Yes,safeds,safeds.data.tabular.transformation._imputer.Mode.78.8,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.963895
Yes,safeds,safeds.data.tabular.transformation._imputer.Strategy.39.4,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.964895
Yes,safeds,safeds.data.tabular.transformation._imputer.__init__.87.4,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.964895
Yes,safeds,safeds.data.tabular.transformation._imputer.Imputer.15.0,2,1,1,1,0.5,0.5,2025-01-11 23:17:19.965891
Yes,safeds,safeds.data.tabular.transformation._label_encoder.__init__.18.4,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.965891
Yes,safeds,safeds.data.tabular.transformation._label_encoder.LabelEncoder.15.0,2,1,1,1,0.5,0.5,2025-01-11 23:17:19.965891
Yes,safeds,safeds.data.tabular.transformation._one_hot_encoder.__init__.62.4,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.966889
Yes,safeds,safeds.data.tabular.transformation._one_hot_encoder.OneHotEncoder.21.0,2,1,1,1,0.5,0.5,2025-01-11 23:17:19.966889
Yes,safeds,safeds.data.tabular.transformation._range_scaler.__init__.27.4,2,1,1,1,0.5,0.5,2025-01-11 23:17:19.966889
Yes,safeds,safeds.data.tabular.transformation._range_scaler.RangeScaler.10.0,3,2,1,2,0.6666666666666666,0.3333333333333333,2025-01-11 23:17:19.966889
Yes,safeds,safeds.data.tabular.transformation._standard_scaler.__init__.13.4,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.968188
Yes,safeds,safeds.data.tabular.transformation._standard_scaler.StandardScaler.10.0,2,1,1,1,0.5,0.5,2025-01-11 23:17:19.968188
Yes,safeds,safeds.data.tabular.transformation._table_transformer.TableTransformer.10.0,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.969186
Yes,safeds,safeds.data.tabular.transformation._table_transformer.InvertibleTableTransformer.136.0,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.969186
Yes,safeds,safeds.data.tabular.typing._column_type.__init__.20.4,1,0,1,0,0.0,1.0,2025-01-11 23:17:19.969186
