Type-Aware?,Library,NodeID,#Nodes,#Edges,#Leaves,Max Depth,Branching Factor,Percentage of Leaves,Date
No,safeds,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.922496
No,safeds,safeds.data.tabular.containers._column.__init__.89.4,87,86,60,6,0.9885057471264368,0.6896551724137931,2025-01-12 23:09:09.925874
No,safeds,safeds.data.tabular.containers._row.__init__.109.4,105,104,73,6,0.9904761904761905,0.6952380952380952,2025-01-12 23:09:09.927911
No,safeds,safeds.data.tabular.containers._table.__init__.385.4,110,109,76,6,0.990909090909091,0.6909090909090909,2025-01-12 23:09:09.928912
No,safeds,safeds.data.tabular.transformation._discretizer.__init__.31.4,21,20,12,6,0.9523809523809523,0.5714285714285714,2025-01-12 23:09:09.929908
No,safeds,safeds.data.tabular.transformation._imputer.__init__.50.12,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.931289
No,safeds,safeds.data.tabular.transformation._imputer.__init__.87.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.931289
No,safeds,safeds.data.tabular.transformation._label_encoder.__init__.18.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.932323
No,safeds,safeds.data.tabular.transformation._one_hot_encoder.__init__.62.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.932323
No,safeds,safeds.data.tabular.transformation._range_scaler.__init__.27.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.933635
No,safeds,safeds.data.tabular.transformation._standard_scaler.__init__.13.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.933635
No,safeds,safeds.data.tabular.typing._column_type.__init__.20.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.934926
No,safeds,safeds.data.tabular.typing._column_type.__init__.131.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.936135
No,safeds,safeds.data.tabular.typing._column_type.__init__.176.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.936135
No,safeds,safeds.data.tabular.typing._column_type.__init__.221.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.937278
No,safeds,safeds.data.tabular.typing._column_type.__init__.266.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.937681
No,safeds,safeds.data.tabular.typing._column_type.__init__.311.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.937681
No,safeds,safeds.data.tabular.typing._column_type.__init__.349.4,1,0,1,0,0.0,1.0,2025-01-12 23:09:09.938681
No,safeds,safeds.data.tabular.typing._schema.__init__.64.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.938681
No,safeds,safeds.exceptions._data.__init__.19.4,4,3,3,1,0.75,0.75,2025-01-12 23:09:09.939732
No,safeds,safeds.exceptions._data.__init__.37.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.939732
No,safeds,safeds.exceptions._data.__init__.48.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.940843
No,safeds,safeds.exceptions._data.__init__.66.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.940843
No,safeds,safeds.exceptions._data.__init__.80.4,3,2,2,1,0.6666666666666666,0.6666666666666666,2025-01-12 23:09:09.940843
No,safeds,safeds.exceptions._data.__init__.99.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.941916
No,safeds,safeds.exceptions._data.__init__.106.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.941916
No,safeds,safeds.exceptions._data.__init__.113.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.941916
No,safeds,safeds.exceptions._data.__init__.120.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.944497
No,safeds,safeds.exceptions._data.__init__.132.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.945502
No,safeds,safeds.exceptions._data.__init__.142.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.945502
No,safeds,safeds.exceptions._data.__init__.149.4,4,3,2,2,0.75,0.5,2025-01-12 23:09:09.946499
No,safeds,safeds.exceptions._data.__init__.156.4,4,3,2,2,0.75,0.5,2025-01-12 23:09:09.946499
No,safeds,safeds.exceptions._data.__init__.163.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.947522
No,safeds,safeds.exceptions._generic.__init__.24.4,10,9,6,4,0.9,0.6,2025-01-12 23:09:09.947522
No,safeds,safeds.exceptions._generic.__init__.101.4,2,1,1,1,0.5,0.5,2025-01-12 23:09:09.948522
No,safeds,safeds.exceptions._generic.__init__.169.4,6,5,4,2,0.8333333333333334,0.6666666666666666,2025-01-12 23:09:09.948522
