Type-Aware?,Library,NodeID,#Nodes,#Edges,#Leaves,Max Depth,Branching Factor,Percentage of Leaves,Date
Yes,safeds,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.557098
Yes,safeds,safeds.data.tabular.containers._column.__init__.89.4,40,39,28,4,0.975,0.7,2025-01-13 00:12:34.561582
Yes,safeds,safeds.data.tabular.containers._row.__init__.109.4,48,47,33,5,0.9791666666666666,0.6875,2025-01-13 00:12:34.562570
Yes,safeds,safeds.data.tabular.containers._table.__init__.385.4,53,52,36,5,0.9811320754716981,0.6792452830188679,2025-01-13 00:12:34.562570
Yes,safeds,safeds.data.tabular.transformation._discretizer.__init__.31.4,35,34,26,6,0.9714285714285714,0.7428571428571429,2025-01-13 00:12:34.563567
Yes,safeds,safeds.data.tabular.transformation._imputer.__init__.50.12,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.563567
Yes,safeds,safeds.data.tabular.transformation._imputer.__init__.87.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.564699
Yes,safeds,safeds.data.tabular.transformation._label_encoder.__init__.18.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.565639
Yes,safeds,safeds.data.tabular.transformation._one_hot_encoder.__init__.62.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.565639
Yes,safeds,safeds.data.tabular.transformation._range_scaler.__init__.27.4,2,1,1,1,0.5,0.5,2025-01-13 00:12:34.565639
Yes,safeds,safeds.data.tabular.transformation._standard_scaler.__init__.13.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.566638
Yes,safeds,safeds.data.tabular.typing._column_type.__init__.20.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.566638
Yes,safeds,safeds.data.tabular.typing._column_type.__init__.131.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.566638
Yes,safeds,safeds.data.tabular.typing._column_type.__init__.176.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.568075
Yes,safeds,safeds.data.tabular.typing._column_type.__init__.221.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.568075
Yes,safeds,safeds.data.tabular.typing._column_type.__init__.266.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.569075
Yes,safeds,safeds.data.tabular.typing._column_type.__init__.311.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.569075
Yes,safeds,safeds.data.tabular.typing._column_type.__init__.349.4,1,0,1,0,0.0,1.0,2025-01-13 00:12:34.570139
Yes,safeds,safeds.data.tabular.typing._schema.__init__.64.4,2,1,1,1,0.5,0.5,2025-01-13 00:12:34.571414
Yes,safeds,safeds.exceptions._data.__init__.19.4,4,3,3,1,0.75,0.75,2025-01-13 00:12:34.571414
Yes,safeds,safeds.exceptions._data.__init__.37.4,2,1,1,1,0.5,0.5,2025-01-13 00:12:34.572478
