Type-Aware?,Library,NodeID,#Nodes,#Edges,#Leaves,Max Depth,Branching Factor,Percentage of Leaves,Date
No,safeds,safeds.data.image.containers._image.__init__.89.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.666591
No,safeds,safeds.data.tabular.containers._column.__init__.89.4,87,86,60,6,0.9885057471264368,0.6896551724137931,2025-01-12 13:48:11.672086
No,safeds,safeds.data.tabular.containers._row.__init__.109.4,105,104,73,6,0.9904761904761905,0.6952380952380952,2025-01-12 13:48:11.673520
No,safeds,safeds.data.tabular.containers._table.__init__.385.4,110,109,76,6,0.990909090909091,0.6909090909090909,2025-01-12 13:48:11.675514
No,safeds,safeds.data.tabular.transformation._discretizer.__init__.31.4,21,20,12,6,0.9523809523809523,0.5714285714285714,2025-01-12 13:48:11.675514
No,safeds,safeds.data.tabular.transformation._imputer.__init__.50.12,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.676978
No,safeds,safeds.data.tabular.transformation._imputer.__init__.87.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.677975
No,safeds,safeds.data.tabular.transformation._label_encoder.__init__.18.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.678972
No,safeds,safeds.data.tabular.transformation._one_hot_encoder.__init__.62.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.679975
No,safeds,safeds.data.tabular.transformation._range_scaler.__init__.27.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.680967
No,safeds,safeds.data.tabular.transformation._standard_scaler.__init__.13.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.680967
No,safeds,safeds.data.tabular.typing._column_type.__init__.20.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.681964
No,safeds,safeds.data.tabular.typing._column_type.__init__.131.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.681964
No,safeds,safeds.data.tabular.typing._column_type.__init__.176.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.682961
No,safeds,safeds.data.tabular.typing._column_type.__init__.221.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.682961
No,safeds,safeds.data.tabular.typing._column_type.__init__.266.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.683958
No,safeds,safeds.data.tabular.typing._column_type.__init__.311.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.684962
No,safeds,safeds.data.tabular.typing._column_type.__init__.349.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.687123
No,safeds,safeds.data.tabular.typing._schema.__init__.64.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.687123
No,safeds,safeds.exceptions._data.__init__.19.4,4,3,3,1,0.75,0.75,2025-01-12 13:48:11.688128
No,safeds,safeds.exceptions._data.__init__.37.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.688128
No,safeds,safeds.exceptions._data.__init__.48.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.689132
No,safeds,safeds.exceptions._data.__init__.66.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.689132
No,safeds,safeds.exceptions._data.__init__.80.4,3,2,2,1,0.6666666666666666,0.6666666666666666,2025-01-12 13:48:11.690136
No,safeds,safeds.exceptions._data.__init__.99.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.690136
No,safeds,safeds.exceptions._data.__init__.106.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.691140
No,safeds,safeds.exceptions._data.__init__.113.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.692143
No,safeds,safeds.exceptions._data.__init__.120.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.692143
No,safeds,safeds.exceptions._data.__init__.132.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.693159
No,safeds,safeds.exceptions._data.__init__.142.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.693159
No,safeds,safeds.exceptions._data.__init__.149.4,4,3,2,2,0.75,0.5,2025-01-12 13:48:11.694164
No,safeds,safeds.exceptions._data.__init__.156.4,4,3,2,2,0.75,0.5,2025-01-12 13:48:11.694164
No,safeds,safeds.exceptions._data.__init__.163.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.695168
No,safeds,safeds.exceptions._generic.__init__.24.4,10,9,6,4,0.9,0.6,2025-01-12 13:48:11.695168
No,safeds,safeds.exceptions._generic.__init__.101.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.696172
No,safeds,safeds.exceptions._generic.__init__.169.4,6,5,4,2,0.8333333333333334,0.6666666666666666,2025-01-12 13:48:11.696172
No,safeds,safeds.exceptions._generic.__init__.228.4,4,3,2,2,0.75,0.5,2025-01-12 13:48:11.697175
No,safeds,safeds.exceptions._ml.__init__.11.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.697175
No,safeds,safeds.exceptions._ml.__init__.25.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.698179
No,safeds,safeds.exceptions._ml.__init__.32.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.698179
No,safeds,safeds.exceptions._ml.__init__.46.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.699183
No,safeds,safeds.exceptions._ml.__init__.53.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.699183
No,safeds,safeds.exceptions._ml.__init__.67.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.700190
No,safeds,safeds.exceptions._ml.__init__.74.4,2,1,1,1,0.5,0.5,2025-01-12 13:48:11.701234
No,safeds,safeds.ml.classical.regression._ada_boost.__init__.39.4,27,26,15,6,0.9629629629629629,0.5555555555555556,2025-01-12 13:48:11.703247
No,safeds,safeds.ml.classical.regression._decision_tree.__init__.20.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.704252
No,safeds,safeds.ml.classical.regression._gradient_boosting.__init__.37.4,27,26,15,6,0.9629629629629629,0.5555555555555556,2025-01-12 13:48:11.704252
No,safeds,safeds.ml.classical.regression._k_nearest_neighbors.__init__.34.4,21,20,12,6,0.9523809523809523,0.5714285714285714,2025-01-12 13:48:11.705268
No,safeds,safeds.ml.classical.classification._logistic_regression.__init__.20.4,1,0,1,0,0.0,1.0,2025-01-12 13:48:11.705268
