Type-Aware?,Library,Module,Func Name,Line,Column,Improvement,#New,#Old,Reason for no improvement,Path,Left-most receiver,Possible reason for no found functions,Date
No,pandas,pandas.conftest,endswith,133,7,No,0,1,Found no referenced functions,,None,,2025-04-07 10:32:06.615127
No,pandas,pandas.conftest,ignore_doctest_warning,165,16,No,0,1,Found no referenced functions,,None,,2025-04-07 10:32:06.723113
No,pandas,pandas.conftest,skip_if_no,345,35,No,0,1,Found no referenced functions,,None,,2025-04-07 10:32:07.143499
No,pandas,pandas.conftest,skip_if_no,362,35,No,0,1,Found no referenced functions,,None,,2025-04-07 10:32:07.145459
No,pandas,pandas.io.common,writable,1070,19,No,0,1,Found no referenced functions,,None,,2025-04-07 10:32:07.149860
No,pandas,pandas.conftest,type,400,54,No,0,0,Found no referenced functions,,None,,2025-04-07 10:32:07.152860
No,pandas,pandas.conftest,type,423,56,No,0,0,Found no referenced functions,,None,,2025-04-07 10:32:07.157859
No,pandas,pandas.conftest,__init__,493,12,No,0,48,Found no referenced functions,,None,,2025-04-07 10:32:07.168920
No,pandas,pandas.conftest,pop,1865,27,No,0,0,Found no referenced functions,,None,,2025-04-07 10:32:07.170927
No,pandas,pandas.conftest,__init__,1866,12,No,0,49,Found no referenced functions,,None,,2025-04-07 10:32:07.173923
No,pandas,pandas.core.apply,__init__,1001,8,No,0,48,Found no referenced functions,,None,,2025-04-07 10:32:07.179464
No,pandas,pandas.core.apply,copy,1100,17,No,0,15,Found no referenced functions,,None,,2025-04-07 10:32:07.182012
No,pandas,pandas.core.apply,_get_axis_number,1101,20,No,0,1,Found no referenced functions,,None,,2025-04-07 10:32:07.183527
No,pandas,pandas.core.apply,get,1101,45,No,0,1,Found no referenced functions,,None,,2025-04-07 10:32:07.183527
No,pandas,pandas.core.apply,__init__,1102,8,No,0,48,Found no referenced functions,,None,,2025-04-07 10:32:07.186824
No,pandas,pandas.core.apply,__init__,1129,8,No,0,48,Found no referenced functions,,None,,2025-04-07 10:32:07.191332
No,pandas,pandas.core.frame,construct_1d_arraylike_from_scalar,830,20,No,0,1,Found no referenced functions,,None,,2025-04-07 10:32:07.334798
No,pandas,pandas.core.frame,len,830,61,No,0,2,Found no referenced functions,,None,,2025-04-07 10:32:07.335799
No,pandas,pandas.core.frame,len,831,35,No,0,2,Found no referenced functions,,None,,2025-04-07 10:32:07.336769
No,pandas,pandas.core.frame,len,775,15,No,0,2,Found no referenced functions,,None,,2025-04-07 10:32:07.337767
No,pandas,pandas.core.frame,len,837,20,No,0,2,Found no referenced functions,,None,,2025-04-07 10:32:07.338805
No,pandas,pandas.core.frame,len,838,20,No,0,2,Found no referenced functions,,None,,2025-04-07 10:32:07.338805
No,pandas,pandas.core.frame,_validate_dtype,650,20,No,0,2,Found no referenced functions,,None,,2025-04-07 10:32:07.339764
No,pandas,pandas.core.frame,copy,657,23,No,0,7,Found no referenced functions,,None,,2025-04-07 10:32:07.341765
No,pandas,pandas.core.frame,copy,661,23,No,0,7,Found no referenced functions,,None,,2025-04-07 10:32:07.342768
No,pandas,pandas.core.frame,using_copy_on_write,660,15,No,0,2,Found no referenced functions,,None,,2025-04-07 10:32:07.345074
No,pandas,pandas.core.frame,using_copy_on_write,689,17,No,0,2,Found no referenced functions,,None,,2025-04-07 10:32:07.346384
